code,name,county,city,full_address,long,lat,district,name_y,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
50303,Ashe County Early College High,Ashe,,,,,Ashe County Schools,Ashe County Early College High,36.7,A,95,1
50302,Ashe County High,Ashe,West Jefferson,"184 Campus Drive, West Jefferson, NC 28694",-81.478117,36.392264,Ashe County Schools,Ashe County High,51.5,C,51.4,3
50305,Ashe County Middle,Ashe,Warrensville,"255 Northwest Lane, Warrensville, NC 28693",-81.509979,36.462739,Ashe County Schools,Ashe County Middle,55.4,B,72,2
050LEA,Ashe County Schools,Ashe,Jefferson,"320 South Street, Jefferson, NC 28640",-81.4685355,36.4200057,aanomatch,aanomatch,,,,
761LEA,Asheboro City Schools,Randolph,Asheboro,"1126 S Park Street, Asheboro, NC 27203",-79.821426,35.692182,aanomatch,aanomatch,,,,
761304,Asheboro High,Randolph,Asheboro,"1221 S Park St, Asheboro, NC 27203",-79.8186435,35.689799,Asheboro City Schools,Asheboro High,66.1,B,55.6,3
111LEA,Asheville City Schools,Buncombe,Asheville,"85 Mountain Street, Asheville, NC 28801",-82.5420027,35.5972057,aanomatch,aanomatch,,,,
111302,Asheville High,Buncombe,Asheville,"419 McDowell Street, Asheville, NC 28803",-82.5517436,35.57262,Asheville City Schools,Asheville High,25.2,B,62.8,2
111356,Asheville Middle,Buncombe,Asheville,"211 S French Broad Avenue, Asheville, NC 28801",-82.559725,35.586504,Asheville City Schools,Asheville Middle,39.8,C,59.5,3
111307,Asheville Primary,Buncombe,Asheville,"441 Haywood Rd, Asheville, NC 28806",-82.5816504,35.5784638,aanomatch,aanomatch,,,,
340308,Ashley Academy,Forsyth,Winston-Salem,"1647 Ashley School Circle, Winston-Salem, NC 27105",-80.2217616,36.1176872,Forsyth County Schools,Ashley Academy,81.5,F,19.4,5
770342,Ashley Chapel Educational Center,Richmond,Rockingham,"377 Mizpah Road, Rockingham, NC 28379",-79.7842291,34.896883,aanomatch,aanomatch,,,,
260308,Ashley Elementary,Cumberland,Fayetteville,"810 Trainer Drive, Fayetteville, NC 28304",-78.9069875,35.0386325,Cumberland County Schools,Ashley Elementary,59,C,48.3,3
600311,Ashley Park PreK-8 School,Mecklenburg,Charlotte,"2401 Belfast Dr, Charlotte, NC 28208",-80.891217,35.232769,Charlotte-Mecklenburg Schools,Ashley Park PreK-8 School,74.2,D,31.1,4
920318,Athens Drive High,Wake,Raleigh,"1420 Athens Drive, Raleigh, NC 27606",-78.7113269,35.7686517,Wake County Schools,Athens Drive High,37.6,B,59.8,3
340311,Atkins Academic & Tech High,Forsyth,Winston-Salem,"3605 Old Greensboro Road, Winston-Salem, NC 27101",-80.195844,36.1105579,Forsyth County Schools,Atkins Academic & Tech High,26,A,80.3,1
450302,Atkinson Elementary,Henderson,Hendersonville,"2510 Old Kanuga Road, Hendersonville, NC 28739",-82.4929738,35.2841292,Henderson County Schools,Atkinson Elementary,43.3,B,80.8,1
160304,Atlantic Elementary,Carteret,Atlantic,"151 School Drive, Atlantic, NC 28511",-76.343587,34.884413,Carteret County Public Schools,Atlantic Elementary,78.6,B,70,2
80348,Aulander Elementary,Bertie,Aulander,"2515 NC Highway 305 North, Aulander, NC 27805",-77.1058429,36.2154879,Bertie County Schools,Aulander Elementary,63.9,C,53.1,3
420304,Aurelian Springs Institute of Global Lea,Halifax,Littleton,"10536 Hwy 48, Littleton, NC 27850",-77.8081687,36.3638809,Halifax County Schools,Aurelian Springs Institute of Global Lea,69.5,C,47.5,3
920320,Aversboro Elementary,Wake,Garner,"1605 Aversboro Rd, Garner, NC 27529",-78.6152841,35.6887639,Wake County Schools,Aversboro Elementary,60.8,D,43.7,3
60302,Avery County High,Avery,Newland,"401 Avery County High School Road, Newland, NC 28657",-81.91897,36.0692387,Avery County Schools,Avery County High,46.9,B,62.5,2
060LEA,Avery County Schools,Avery,Newland,"775 Cranberry Street, Newland, NC 28657",-81.930037,36.0963223,aanomatch,aanomatch,,,,
60700,Avery High STEM Academy,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387,aanomatch,aanomatch,,,,
60701,Avery High Viking Academy,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387,Avery County Schools,Avery High Viking Academy,60,F,10.5,5
60318,Avery Middle,Avery,Newland,"102 Old Montezuma Road, Newland, NC 28657",-81.9159937,36.067157,Avery County Schools,Avery Middle,55.7,B,70.8,2
110410,Avery's Creek Elementary,Buncombe,Arden,"15 Park South Boulevard, Arden, NC 28704",-82.5792672,35.4774437,Buncombe County Schools,Avery's Creek Elementary,63.9,D,48.5,3
910304,Aycock Elementary,Vance,Henderson,"305 Carey Chapel Rd, Henderson, NC 27537",-78.3614166,36.3208051,Vance County Schools,Aycock Elementary,58.4,C,57.7,3
740304,Ayden Elementary,Pitt,Ayden,"187 Third Street, Ayden, NC 28513",-77.4319198,35.4751441,Pitt County Schools,Ayden Elementary,65.6,C,50,3
740308,Ayden Middle,Pitt,Ayden,"192 Third St, Ayden, NC 28513",-77.4345187,35.4712602,Pitt County Schools,Ayden Middle,56.5,C,58.8,3
740309,Ayden-Grifton High,Pitt,Ayden,"7653 NC 11 South, Ayden, NC 28513",-77.4312013,35.4302132,Pitt County Schools,Ayden-Grifton High,62,C,36.9,4
70310,B C Ed Tech Center,Beaufort,Washington,"820 North Bridge St, Washington, NC 27899",-77.0562215,35.5523349,aanomatch,aanomatch,,,,
