code,name,county,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
10358,Hillcrest Elementary,Alamance,Burlington,"1714 W Davis Street, Burlington, NC 27215",-79.4648653,36.1031392,Alamance-Burlington Schools,57.6,D,33.1,4
01C000,Clover Garden,Alamance,Burlington,"2454 Altamhaw Union Ridge Road, Burlington, NC 27217",-79.4715982,36.1870915,Charter Schools,11,B,66.3,2
830312,Covington Street Elementary,Scotland,Laurinburg,"615 W Covington St, Laurinburg, NC 28352",-79.471804,34.772452,Scotland County Schools,82.6,F,27.7,4
830343,Scotland High School,Scotland,Laurinburg,"1000 West Church St, Laurinburg, NC 28352",-79.477823,34.778051,Scotland County Schools,72.8,C,39.5,4
10362,Marvin B Smith Elementary,Alamance,Burlington,"2235 Delaney Drive, Burlington, NC 27215",-79.4787377,36.0772234,Alamance-Burlington Schools,45.5,C,69,2
830348,Scotland Early College High,Scotland,Laurinburg,"1700 Dogwood Mile, Laurinburg, NC 28352",-79.4797726,34.7447182,Scotland County Schools,46.6,A,>95,1
19A000,Chatham Charter,Chatham,Siler City,"2200 Hamp Stone Rd, Siler City, NC 27344",-79.4809351,35.742891,Charter Schools,14.9,B,73,2
10328,Edwin M Holt Elementary,Alamance,Burlington,"4751 S NC 62, Burlington, NC 27215",-79.4888609,36.020872,Alamance-Burlington Schools,32.2,B,67.5,2
830364,Sycamore Lane Elementary,Scotland,Laurinburg,"2100 Sycamore Lane, Laurinburg, NC 28352",-79.4890148,34.7395274,Scotland County Schools,79.7,D,30.6,4
190350,Siler City Elementary,Chatham,Siler City,"671 Ellington Road, Siler City, NC 27344",-79.492701,35.7271379,Chatham County Schools,85.3,C,62.3,2
10340,Elon Elementary,Alamance,Elon,"510 E Haggard Avenue, Elon, NC 27244",-79.4991775,36.1041309,Alamance-Burlington Schools,47.1,C,57.1,3
10400,Western Alamance High,Alamance,Elon,"1731 N NC 87, Elon, NC 27244",-79.4991966,36.1528055,Alamance-Burlington Schools,28.6,C,54.3,3
10403,Western Alamance Middle,Alamance,Elon,"2100 Eldon Drive, Elon, NC 27244",-79.5036285,36.1620485,Alamance-Burlington Schools,39.4,C,61.7,2
10308,Altamahaw-Ossipee Elementary,Alamance,Elon,"2832 N NC 87, Elon, NC 27244",-79.5104138,36.1795464,Alamance-Burlington Schools,46.8,C,61.3,2
10312,Highland Elementary,Alamance,Burlington,"3720 Bonnar Bridge Parkway, Burlington, NC 27215",-79.5179086,36.0585018,Alamance-Burlington Schools,37.7,B,66.9,2
830304,Carver Middle,Scotland,Laurel Hill,"18601 Fieldcrest Road, Laurel Hill, NC 28351",-79.5202088,34.8207073,Scotland County Schools,75.2,D,47.3,3
830328,Laurel Hill Elementary,Scotland,Laurel Hill,"11340 Old Wire Road, Laurel Hill, NC 28351",-79.5203159,34.82265,Scotland County Schools,77.9,D,47.2,3
630328,Highfalls Elementary,Moore,Bennett,"1220 NC Hwy 22, Bennett, NC 27208",-79.523137,35.485783,Moore County Schools,38.2,C,64.9,2
630373,West Pine Elementary,Moore,West End,"272 Archie Rd, West End, NC 27376",-79.5281143,35.2278668,Moore County Schools,33.4,B,79.7,2
630374,West Pine Middle,Moore,West End,"144 Archie Road, West End, NC 27376",-79.5296953,35.2247781,Moore County Schools,25.6,B,72.4,2
410382,Gibsonville Elementary,Guilford,Gibsonville,"401 East Joyner Street, Gibsonville, NC 27249",-79.542761,36.109592,Guilford County Schools,52.3,B,66.3,2
190304,Bennett School,Chatham,Bennett,"61 Randolph Street, Bennett, NC 27208",-79.5457235,35.5625274,Chatham County Schools,40.7,B,71.8,2
630332,North Moore High,Moore,Robbins,"1504 North Moore Rd, Robbins, NC 27325",-79.553745,35.467586,Moore County Schools,56.7,B,59.1,3
760332,Liberty Elementary,Randolph,Liberty,"206 N Fayetteville St, Liberty, NC 27298",-79.570385,35.855369,Randolph County Schools,66.1,D,39.4,4
630348,Robbins Elementary,Moore,Robbins,"268 Rushwood Rd, Robbins, NC 27325",-79.573284,35.419539,Moore County Schools,83.6,D,30.7,4
630368,West End Elementary,Moore,West End,"4483 NC Hwy 211, West End, NC 27376",-79.5774602,35.2572557,Moore County Schools,32.9,B,80.6,1
630320,Elise Middle,Moore,Robbins,"180 W Elm St, Robbins, NC 27325",-79.589349,35.436008,Moore County Schools,81,D,41.5,3
410481,Nathanael Greene Elementary,Guilford,Liberty,"2717 NC Highway 62 East, Liberty, NC 27298",-79.6067803,35.9460204,Guilford County Schools,42,C,51.5,3
410460,Eastern Guilford Middle,Guilford,Gibsonville,"435 Peeden Drive, Gibsonville, NC 27249",-79.6149641,36.0987373,Guilford County Schools,45.7,D,44,3
410358,Eastern Guilford High,Guilford,Gibsonville,"415 Peeden Drive, Gibsonville, NC 27249",-79.615576,36.0946279,Guilford County Schools,63.8,C,36,4
790402,Williamsburg Elementary,Rockingham,Reidsville,"2830 Hwy 87, Reidsville, NC 27320",-79.616604,36.290104,Rockingham County Schools,54.6,C,57.2,3
760316,Coleridge Elementary,Randolph,Ramseur,"4528 NC Hwy 22 South, Ramseur, NC 27316",-79.6177607,35.6444468,Randolph County Schools,64.6,C,54.6,3
760318,Eastern Randolph High,Randolph,Ramseur,"390 Eastern Randolph Rd, Ramseur, NC 27316",-79.6193504,35.7560968,Randolph County Schools,62.6,C,33.7,4
410535,Sedalia Elementary,Guilford,Sedalia,"6120 Burlington Road, Sedalia, NC 27342",-79.627148,36.067322,Guilford County Schools,58.5,C,54.6,3
760357,Southeastern Randolph Middle,Randolph,Ramseur,"5302 Foushee Rd, Ramseur, NC 27316",-79.6349089,35.728567,Randolph County Schools,69.4,D,40.1,3
760338,Northeastern Randolph Middle,Randolph,Liberty,"3493 Ramseur Julian Road, Liberty, NC 27298",-79.6461755,35.8231744,Randolph County Schools,50.3,C,54.8,3
790347,Lincoln Elementary,Rockingham,Ruffin,"2660 Oregon Hill Road, Ruffin, NC 27326",-79.649071,36.466987,Rockingham County Schools,57.1,C,55.9,3
760340,Ramseur Elementary,Randolph,Ramseur,"6755 Jordan Road, Ramseur, NC 27316",-79.6536069,35.738977,Randolph County Schools,55.9,C,62.3,2
410461,McLeansville Elementary,Guilford,McLeansville,"5315 Frieden Church Rd, McLeansville, NC 27301",-79.661427,36.106505,Guilford County Schools,49.9,C,47.9,3
790386,South End Elementary,Rockingham,Reidsville,"1307 South Park Drive, Reidsville, NC 27320",-79.667871,36.343707,Rockingham County Schools,55.1,D,43.8,3
410484,Northeast Guilford High,Guilford,McLeansville,"6700 McLeansville Road, McLeansville, NC 27301",-79.6734524,36.1586072,Guilford County Schools,74.3,C,37.7,4
410340,Monticello-Brown Summit Elem,Guilford,Browns Summit,"5006 NC Highway 150 East, Browns Summit, NC 27214",-79.6742777,36.219915,Guilford County Schools,65.7,C,47.8,3
