district,code,name,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Davidson County Schools,290380,Wallburg Elementary,32.3,B,74.3,2
Lincoln County Schools,550350,North Lincoln Middle,27.1,B,74.3,2
Wake County Schools,920458,Holly Grove Middle,20.4,B,74.3,2
Wake County Schools,920521,Oakview Elementary,15.8,B,74.3,2
Forsyth County Schools,340457,Frank Morgan Elementary,40.3,B,74.2,2
Gaston County Schools,360494,South Point High,23.7,B,74.2,2
Granville County Schools,390368,Wilton Elementary,44.7,B,74.2,2
Charter Schools,65A000,Cape Fear Center for Inquiry,21.4,B,74.2,2
Guilford County Schools,410466,Millis Road Elementary,40.9,B,74.1,2
Henderson County Schools,450332,Fletcher Elementary,43.1,B,74.1,2
Hoke County Schools,470443,SandHoke Early College High,53.7,A,74.1,2
Charlotte-Mecklenburg Schools,600449,McAlpine Elementary,28.4,B,74.1,2
Wake County Schools,920376,Combs Elementary,36.8,B,74.1,2
Wake County Schools,920604,West Cary Middle,22.1,B,74,2
Carteret County Public Schools,160326,Newport Middle,64.5,B,73.9,2
Charlotte-Mecklenburg Schools,600464,Myers Park Traditional,43.9,B,73.9,2
Polk County Schools,750314,Polk Central Elementary School,41.5,B,73.9,2
Sampson County Schools,820384,Union Elementary,77.9,B,73.9,2
Stanly County Schools,840320,Locust Elementary,38.1,B,73.9,2
Cumberland County Schools,260388,Massey Hill Classical High,34.6,B,73.8,2
Chapel Hill-Carrboro Schools,681312,Estes Hills Elementary,26.2,B,73.8,2
Rutherford County Schools,810344,Ellenboro Elementary School,47.9,B,73.8,2
Stokes County Schools,850328,Nancy Reynolds Elementary,61.4,B,73.7,2
Charter Schools,36B000,Piedmont Community Charter School,18.3,B,73.7,2
Charlotte-Mecklenburg Schools,600466,Myers Park High,23.6,B,73.6,2
Wake County Schools,920303,Abbotts Creek Elementary,24.1,B,73.6,2
Davidson County Schools,290330,Friedberg Elementary,26.9,B,73.5,2
Hoke County Schools,470310,Don D Steed Elementary,52.5,B,73.5,2
Wake County Schools,920358,Carpenter Elementary,20.8,B,73.5,2
Wake County Schools,920524,Olds Elementary,21.8,B,73.5,2
Iredell-Statesville Schools,490356,Sharon Elementary,49.1,B,73.4,2
Charlotte-Mecklenburg Schools,600344,Collinswood Language Academy,49.4,B,73.4,2
Elkin City Schools,861308,Elkin High,37.1,B,73.4,2
Carteret County Public Schools,160352,White Oak Elementary,39.2,B,73.3,2
Charter Schools,92W000,Cardinal Charter Academy,14.1,B,73.3,2
Davidson County Schools,290333,Friendship Elementary,32.3,B,73.2,2
Guilford County Schools,410304,Alamance Elementary,37.7,B,73.2,2
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,25.9,B,73.2,2
Duplin County Schools,310338,Duplin Early College High,67.8,B,73.1,2
Wake County Schools,920492,Martin Middle,27.9,B,73.1,2
Wake County Schools,920522,Oak Grove Elementary,19.9,B,73.1,2
Charter Schools,01D000,The Hawbridge School,8.1,B,73.1,2
Charter Schools,39A000,Falls Lake Academy,8.2,B,73.1,2
Charter Schools,91A000,Vance Charter School,13.6,B,73.1,2
Haywood County Schools,440314,Bethel Elementary,51.8,B,73,2
Watauga County Schools,950338,Watauga Innovation Academy,30.6,B,73,2
Charter Schools,10A000,Charter Day School,34.6,B,73,2
Charter Schools,19A000,Chatham Charter,14.9,B,73,2
Asheville City Schools,111306,Isaac Dickson Elementary,36.4,B,72.9,2
Cumberland County Schools,260434,Stoney Point Elementary,30.6,B,72.9,2
Forsyth County Schools,340494,Piney Grove Elementary,32.7,B,72.9,2
Stokes County Schools,850340,Pinnacle Elementary,61.3,B,72.9,2
Wilson County Schools,980397,Wilson Academy of Applied Technology,30.3,B,72.9,2
Charter Schools,32N000,Research Triangle High School,<5,B,72.9,2
Buncombe County Schools,110382,North Windy Ridge Intermediate,47.8,B,72.8,2
Lincoln County Schools,550322,East Lincoln Middle,30.7,B,72.8,2
Charlotte-Mecklenburg Schools,600582,J T Williams Secondary Montessori,17.1,B,72.8,2
Union County Public Schools,900340,New Salem Elementary,31.5,B,72.8,2
Watauga County Schools,950336,Watauga High,22.8,B,72.8,2
Wilson County Schools,980340,Gardners Elementary,41.6,B,72.8,2
Davie County Schools,300325,North Davie Middle,37.6,B,72.7,2
Sampson County Schools,820340,Hargrove Elementary,74.1,B,72.7,2
Carteret County Public Schools,160344,West Carteret High,49.6,B,72.6,2
Sampson County Schools,820354,Midway Middle,45.9,B,72.6,2
Alexander County Schools,20324,Sugar Loaf Elementary,42.1,B,72.5,2
Harnett County Schools,430352,LaFayette Elementary,37.7,B,72.5,2
Wake County Schools,920448,Hunter Elementary,30.9,B,72.5,2
Carteret County Public Schools,160318,Morehead City Middle,52.1,B,72.4,2
Johnston County Schools,510328,Cleveland Elementary,26.9,B,72.4,2
Moore County Schools,630374,West Pine Middle,25.6,B,72.4,2
Onslow County Schools,670350,Swansboro Elementary,36.2,B,72.4,2
Rutherford County Schools,810328,Cliffside Elementary School,47.9,B,72.4,2
Wake County Schools,920306,Herbert Akins Rd Elementary,19.5,B,72.4,2
Wake County Schools,920456,Joyner Elementary,24.5,B,72.4,2
Cabarrus County Schools,130345,Patriots Elementary,24.1,B,72.3,2
Gaston County Schools,360324,Belmont Middle,31.1,B,72.3,2
Madison County Schools,570320,Mars Hill Elementary,49.6,B,72.3,2
Surry County Schools,860340,Pilot Mountain Middle,48.2,B,72.3,2
Guilford County Schools,410489,Northern Guilford High,16,B,72.2,2
Mooresville City Schools,491320,South Elementary,54.4,B,72.2,2
Wake County Schools,920414,Farmington Woods Elementary,31.6,B,72.2,2
Wake County Schools,920572,Underwood Elementary,22.9,B,72.2,2
Davie County Schools,300337,William Ellis Middle,30.5,B,72.1,2
Iredell-Statesville Schools,490335,Lake Norman High,8.5,B,72.1,2
Ashe County Schools,50305,Ashe County Middle,55.4,B,72,2
Gaston County Schools,360464,New Hope Elementary,27.3,B,72,2
Guilford County Schools,410472,Morehead Elementary,69.1,B,72,2
Union County Public Schools,900363,Sun Valley Elementary,26.3,B,72,2
Wake County Schools,920471,Leesville Road Middle,29.2,B,72,2
Wake County Schools,920594,Wakefield Middle,18.5,B,72,2
Ashe County Schools,50310,Blue Ridge Elementary,60.1,B,71.9,2
Burke County Schools,120312,Drexel Elementary,65.6,B,71.8,2
Chatham County Schools,190304,Bennett School,40.7,B,71.8,2
Charlotte-Mecklenburg Schools,600399,Alexander Graham Middle,27.1,B,71.8,2
Elkin City Schools,861312,Elkin Middle,37,B,71.8,2
Yadkin County Schools,990308,Courtney Elementary,64,B,71.8,2
Rutherford County Schools,810370,Pinnacle Elementary School,39.1,B,71.7,2
Mount Airy City Schools,862316,Mount Airy Middle,58.9,B,71.7,2
Chapel Hill-Carrboro Schools,681305,Carrboro High,24.3,B,71.6,2
Charter Schools,87A000,Mountain Discovery,18.4,B,71.6,2
Wake County Schools,920334,Brassfield Elementary,29.4,B,71.5,2
Craven County Schools,250328,Graham A Barden Elementary,67.4,B,71.4,2
Wake County Schools,920467,Laurel Park Elementary,13.3,B,71.4,2
Yadkin County Schools,990320,Forbush Elementary,26.1,B,71.4,2
Chatham County Schools,190339,Margaret B. Pollard Middle,20.1,B,71.3,2
Dare County Schools,280316,Manteo High School,34.1,B,71.3,2
Forsyth County Schools,340406,Thomas Jefferson Middle,33,B,71.3,2
Charlotte-Mecklenburg Schools,600385,Endhaven Elementary,28.4,B,71.3,2
Randolph County Schools,760304,Archdale Elementary,62,B,71.3,2
Wake County Schools,920514,North Forest Pines Elementary,26.7,B,71.3,2
Charter Schools,01B000,River Mill Academy,11.6,B,71.3,2
Burke County Schools,120344,Icard Elementary,66.3,B,71.2,2
Cleveland County Schools,230364,Springmore Elementary,55.8,B,71.2,2
Currituck County Schools,270312,Knotts Island Elementary,34.6,B,71.2,2
Guilford County Schools,410407,Kearns Academy,38.4,B,71.2,2
Henderson County Schools,450352,West Henderson High,27.8,B,71.2,2
Wake County Schools,920494,Middle Creek Elementary,24.2,C,71.2,2
Warren County Schools,930360,Warren Early College High,36,B,71.2,2
Charter Schools,86T000,Millennium Charter Academy,18.7,B,71.2,2
Buncombe County Schools,110326,Cane Creek Middle,32.2,B,71.1,2
Johnston County Schools,510378,Riverwood Elementary,20.3,B,71,2
Transylvania County Schools,880336,T C Henderson,76.9,B,71,2
Wake County Schools,920340,Briarcliff Elementary,41,B,71,2
Buncombe County Schools,110370,Hominy Valley Elementary,41.1,B,70.9,2
Buncombe County Schools,110388,Pisgah Elementary,57.3,B,70.9,2
Guilford County Schools,410388,General Greene Elementary,38.3,B,70.9,2
Henderson County Schools,450307,Clear Creek Elementary,62.4,B,70.9,2
Charter Schools,58B000,Bear Grass Charter School,14.9,B,70.9,2
Avery County Schools,60318,Avery Middle,55.7,B,70.8,2
Cabarrus County Schools,130332,Hickory Ridge High,16,B,70.8,2
Cumberland County Schools,260369,John R Griffin Middle,38.3,B,70.8,2
Burke County Schools,120380,Valdese Elementary,60,B,70.7,2
Chapel Hill-Carrboro Schools,681316,FPG Elementary,41.3,B,70.7,2
Union County Public Schools,900354,Sardis Elementary,62.4,B,70.7,2
Cumberland County Schools,260356,District No 7 Elementary,50.7,B,70.6,2
Cumberland County Schools,260380,Long Hill Elementary,47.8,B,70.6,2
Wayne County Public Schools,960336,Grantham Elementary,66.8,B,70.6,2
Cleveland County Schools,230320,Casar Elementary,51.7,B,70.5,2
Iredell-Statesville Schools,490308,Brawley Middle,14.9,B,70.5,2
New Hanover County Schools,650364,Roland-Grise Middle,37,B,70.5,2
Person County Schools,730368,Woodland Elementary,32.8,B,70.5,2
Randolph County Schools,760368,Trindale Elementary,56.1,B,70.5,2
Elkin City Schools,861304,Elkin Elementary,45.3,B,70.5,2
Forsyth County Schools,340326,Caleb's Creek Elementary,39.1,B,70.4,2
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,21.8,B,70.4,2
Brunswick County Schools,100339,Town Creek Elementary,64.6,B,70.3,2
Guilford County Schools,410424,Jesse Wharton Elem,34.8,B,70.3,2
Henderson County Schools,450335,Hendersonville Middle,46.1,B,70.3,2
Surry County Schools,860360,White Plains Elementary,58.2,B,70.3,2
Wake County Schools,920472,Ligon Middle,28.9,C,70.3,2
Charlotte-Mecklenburg Schools,600455,Mint Hill Middle,37.9,B,70.2,2
Rutherford County Schools,810350,Forrest W. Hunt Elementary School,48.5,B,70.2,2
Burke County Schools,120370,Robert L. Patton High School,42.1,B,70.1,2
Dare County Schools,280302,Cape Hatteras Elementary School,65.7,B,70.1,2
Charlotte-Mecklenburg Schools,600435,Trillium Springs Montessori,25.7,B,70.1,2
Robeson County Schools,780407,Tanglewood Elementary,61.3,B,70.1,2
Charter Schools,19C000,Willow Oak Montessori,<5,B,70.1,2
Carteret County Public Schools,160304,Atlantic Elementary,78.6,B,70,2
Cumberland County Schools,260448,Vanstory Hills Elementary,45.2,B,70,2
Davidson County Schools,290351,Oak Grove Middle,29.5,B,70,2
Harnett County Schools,430312,Benhaven Elementary,42.2,B,70,2
Charlotte-Mecklenburg Schools,600447,Matthews Elementary,28.5,B,70,2
New Hanover County Schools,650342,John T Hoggard High,28.7,B,70,2
Stanly County Schools,840368,West Stanly High,28.4,B,70,2
Surry County Schools,860312,Dobson Elementary,64.6,B,70,2
Mount Airy City Schools,862312,Mount Airy High,44.2,B,70,2
Wake County Schools,920455,Holly Springs High,11.7,B,70,2
Charter Schools,34G000,The Arts Based School,9.9,B,70,2
Ashe County Schools,50330,Mountain View Elementary,63.4,B,69.9,2
Jackson County Schools,500340,Smoky Mountain High School,40.6,B,69.9,2
Wilson County Schools,980352,Lucama Elementary,45,B,69.9,2
Charter Schools,41D000,"Phoenix Academy- Primary, Elem. IB MYP",19.8,B,69.9,2
Beaufort County Schools,70326,Chocowinity Primary,66.6,B,69.8,2
Buncombe County Schools,110436,West Buncombe Elementary,58.9,B,69.8,2
Asheville City Schools,111332,Ira B Jones Elementary,39.4,B,69.8,2
Cleveland County Schools,230308,Boiling Springs Elementary,55.8,B,69.8,2
Yancey County Schools,995336,South Toe Elementary,58.2,B,69.8,2
Pitt County Schools,740379,Ridgewood Elementary,44.7,B,69.7,2
Randolph County Schools,760330,John R Lawrence Elementary,42.1,B,69.7,2
Wake County Schools,920520,Northwoods Elementary,32.8,B,69.7,2
Charter Schools,90C000,Union Prep Academy at Indian Trail,28.1,B,69.7,2
Charter Schools,92U000,Longleaf School of the Arts,6.8,B,69.7,2
Cabarrus County Schools,130326,Northwest Cabarrus High,38.9,B,69.6,2
Catawba County Schools,180308,Bandys High,30.4,B,69.6,2
Davidson County Schools,290302,Brier Creek Elementary,63.4,B,69.6,2
Durham Public Schools,320342,Lakewood Montessori Middle,38.8,B,69.6,2
Alexander County Schools,20332,Wittenburg Elementary,44.3,B,69.5,2
Haywood County Schools,440350,Junaluska Elementary,49.7,B,69.5,2
Charter Schools,60S000,Bradford Preparatory School,5.3,B,69.5,2
Pender County Schools,710352,Surf City Middle,32.4,B,69.4,2
Wake County Schools,920450,Holly Ridge Middle,24.3,C,69.4,2
Charter Schools,11B000,ArtSpace Charter School,13.8,B,69.4,2
Carteret County Public Schools,160306,Bogue Sound Elementary,60.6,B,69.3,2
Forsyth County Schools,340420,Kernersville Middle,41.6,B,69.3,2
Guilford County Schools,410370,Florence Elementary,41.8,B,69.3,2
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,28.8,B,69.3,2
New Hanover County Schools,650348,Murrayville Elementary,61.9,B,69.3,2
Rockingham County Schools,790398,Wentworth Elementary,47.5,B,69.3,2
Rutherford County Schools,810360,Harris Elementary School,40.8,B,69.3,2
Union County Public Schools,900350,Piedmont Middle,27,C,69.3,2
Buncombe County Schools,110352,Enka High,45.6,B,69.2,2
Caldwell County Schools,140340,Granite Falls Elementary,45.5,C,69.2,2
Chatham County Schools,190352,Silk Hope School,39.3,B,69.2,2
Cumberland County Schools,260415,Rockfish Elementary,53.7,B,69.2,2
Onslow County Schools,670331,New Bridge Middle,43.8,B,69.2,2
Stanly County Schools,840308,Badin Elementary,56.1,B,69.2,2
Union County Public Schools,900320,Indian Trail Elementary,35.7,B,69.2,2
Cleveland County Schools,230344,Grover Elementary,52.2,B,69.1,2
Craven County Schools,250368,Tucker Creek Middle,47.4,B,69.1,2
Guilford County Schools,410343,Claxton Elementary,35.1,B,69.1,2
Henderson County Schools,450334,Hendersonville High,35.8,B,69.1,2
Mooresville City Schools,491303,East Mooresville Intermediate,39.7,B,69.1,2
Alamance-Burlington Schools,10362,Marvin B Smith Elementary,45.5,C,69,2
Alamance-Burlington Schools,10384,South Mebane Elementary,41.2,B,69,2
Carteret County Public Schools,160317,Morehead Elem at Camp Glenn,58.3,B,69,2
Hertford County Schools,460340,CS Brown High,37.3,A,69,2
Transylvania County Schools,880312,Brevard Middle,48.8,B,69,2
Wake County Schools,920596,Washington Elementary,32.5,B,69,2
Yadkin County Schools,990316,Fall Creek Elementary,51.8,B,69,2
Cumberland County Schools,260306,Armstrong Elementary,49.5,B,68.9,2
Davidson County Schools,290350,North Davidson Middle,37.1,B,68.9,2
Stokes County Schools,850356,Walnut Cove Elementary,67,B,68.9,2
Union County Public Schools,900356,Shiloh Elementary,46.5,B,68.9,2
Charter Schools,11C000,IC Imagine,12.8,B,68.9,2
Charter Schools,61M000,Charlotte Lab School,9,B,68.9,2
Charter Schools,73A000,Bethel Hill Charter,44,B,68.9,2
Haywood County Schools,440318,Bethel Middle,51.7,B,68.8,2
Onslow County Schools,670335,Queens Creek Elementary,53.1,B,68.8,2
Burke County Schools,120374,Salem Elementary,52.2,B,68.7,2
Currituck County Schools,270316,Moyock Elementary,17.8,B,68.7,2
Mooresville City Schools,491316,Park View Elementary,48.5,B,68.7,2
Charlotte-Mecklenburg Schools,600409,Parkside Elementary,52.4,B,68.7,2
Union County Public Schools,900351,Rock Rest Elementary,54.7,B,68.7,2
Buncombe County Schools,110381,North Buncombe Middle,46.6,B,68.6,2
Asheville City Schools,111369,Montford North Star Academy,43.8,B,68.6,2
Cleveland County Schools,230376,Washington Elementary,66,C,68.6,2
Wake County Schools,920606,West Lake Elementary,21.4,C,68.6,2
Alamance-Burlington Schools,10353,Hawfields Middle,53.5,B,68.5,2
Asheville City Schools,111360,Vance Elementary,44.2,B,68.5,2
Cherokee County Schools,200312,Hiwassee Dam Elementary/Middle,26.1,C,68.5,2
Henderson County Schools,450341,North Henderson High,53.7,B,68.5,2
Surry County Schools,860308,Copeland Elementary,73.5,B,68.5,2
Union County Public Schools,900348,Piedmont High,19.5,B,68.5,2
Avery County Schools,60304,Banner Elk Elementary,52.5,B,68.4,2
Buncombe County Schools,110304,Reynolds High,37.2,B,68.4,2
Caldwell County Schools,140308,Collettsville School,62.2,B,68.4,2
Pender County Schools,710342,Topsail High,29,B,68.4,2
Wilson County Schools,980384,Springfield Middle,14.5,C,68.4,2
Charter Schools,51A000,Neuse Charter School,19.7,C,68.4,2
Charter Schools,60G000,Queen's Grant Community School,15.9,B,68.4,2
Beaufort County Schools,70308,Bath Elementary,27.7,C,68.3,2
Buncombe County Schools,110336,Owen High,43.2,B,68.3,2
Catawba County Schools,180304,Balls Creek Elementary,49.7,B,68.3,2
Catawba County Schools,180340,Fred T Foard High,35.8,B,68.3,2
Catawba County Schools,180380,Startown Elementary,46.3,B,68.3,2
Cleveland County Schools,230352,Kings Mountain Middle,54.9,B,68.3,2
Charlotte-Mecklenburg Schools,600411,Highland Creek Elementary,30.9,B,68.3,2
Transylvania County Schools,880308,Brevard High,35.2,B,68.3,2
Wake County Schools,920607,West Lake Middle,24,C,68.3,2
Charter Schools,12A000,New Dimensions,20,B,68.3,2
Ashe County Schools,50335,Westwood Elementary,60.5,B,68.2,2
Iredell-Statesville Schools,490337,Lakeshore Elementary,15.2,B,68.2,2
Mooresville City Schools,491306,Mooresville Intermediate,37.1,B,68.2,2
Stokes County Schools,850314,Mount Olive Elementary,41.6,B,68.2,2
Wake County Schools,920388,Daniels Middle,31.3,B,68.2,2
Sampson County Schools,820350,Midway Elementary,58.3,C,68.1,2
Burke County Schools,120334,Heritage Middle,50.4,B,68,2
Forsyth County Schools,340556,West Forsyth High,24.5,B,68,2
Mooresville City Schools,491312,Mooresville High School,29.2,B,68,2
Randolph County Schools,760376,Trinity Elementary,60,B,68,2
Caldwell County Schools,140372,Lower Creek Elementary,43.9,B,67.9,2
Iredell-Statesville Schools,490318,Coddle Creek Elementary,22,B,67.9,2
Durham Public Schools,320354,Morehead Montessori,36.5,B,67.8,2
Forsyth County Schools,340472,Old Richmond Elementary,51.3,B,67.8,2
Surry County Schools,860332,Mountain Park Elementary,74.7,B,67.8,2
Union County Public Schools,900384,Western Union Elementary,35,B,67.8,2
Lincoln County Schools,550349,Pumpkin Center Intermediate,36,B,67.7,2
Wake County Schools,920445,Heritage High,18.8,B,67.7,2
Cleveland County Schools,230328,Crest Middle,54.2,B,67.6,2
Davidson County Schools,290316,Davis-Townsend Elementary,42.7,B,67.6,2
Durham Public Schools,320347,George Watts Elementary,35.8,B,67.6,2
Franklin County Schools,350340,Youngsville Elementary,45.2,B,67.6,2
New Hanover County Schools,650323,Edwin A Anderson Elementary,44.2,B,67.6,2
Rutherford County Schools,810388,Rutherfordton Elementary School,41.9,B,67.6,2
Charter Schools,81B000,Lake Lure Classical Academy,20.8,B,67.6,2
Alamance-Burlington Schools,10328,Edwin M Holt Elementary,32.2,B,67.5,2
Camden County Schools,150310,Camden Intermediate,21.3,C,67.5,2
Carteret County Public Schools,160308,Beaufort Elementary,71.3,B,67.5,2
Durham Public Schools,320313,Easley Elementary,29.1,B,67.5,2
Charlotte-Mecklenburg Schools,600588,Winget Park Elementary,35.2,B,67.5,2
Wake County Schools,920626,Yates Mill Elementary,50.2,C,67.5,2
Charter Schools,61N000,Queen City STEM School,9.1,C,67.5,2
Charter Schools,88A000,Brevard Academy,20.9,B,67.5,2
Alexander County Schools,20308,Ellendale Elementary,41.8,B,67.4,2
Chatham County Schools,190348,Pittsboro Elementary,37.9,B,67.4,2
Cherokee County Schools,200304,Andrews Elementary,42.9,C,67.4,2
Cabarrus County Schools,130323,Mount Pleasant Middle,34,B,67.3,2
Guilford County Schools,410430,David D Jones Elementary,48.7,B,67.3,2
Lee County Schools,530346,Tramway Elementary,45.5,B,67.3,2
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,36.7,B,67.3,2
Guilford County Schools,410394,Grimsley High,40.1,B,67.2,2
Catawba County Schools,180379,Snow Creek Elementary,50.1,B,67.1,2
Cumberland County Schools,260403,New Century International Elementary,51.6,B,67.1,2
Macon County Schools,560332,Nantahala School,53.9,C,67.1,2
New Hanover County Schools,650341,John J Blair Elementary,49.8,C,67.1,2
Wake County Schools,920470,Lead Mine Elementary,35.8,B,67.1,2
Wayne County Public Schools,960450,Northeast Elementary,50.7,C,67.1,2
Brunswick County Schools,100304,Bolivia Elementary,71.9,B,67,2
Cabarrus County Schools,130355,Harold E. Winkler Middle,49,B,67,2
Cherokee County Schools,200308,Andrews High,60.8,B,67,2
Cumberland County Schools,260397,E Melvin Honeycutt Elementary,45.4,C,67,2
Gaston County Schools,360390,East Gaston High,39.3,B,67,2
Orange County Schools,680310,Cedar Ridge High,33.3,B,67,2
Randolph County Schools,760308,Braxton Craven Middle,46.2,C,67,2
Wake County Schools,920356,Carnage Middle,37.8,B,67,2
Wake County Schools,920364,Cary Elementary,36.9,C,67,2
Wilkes County Schools,970352,Mulberry Elementary School,48.2,B,67,2
Alamance-Burlington Schools,10312,Highland Elementary,37.7,B,66.9,2
Buncombe County Schools,110356,Fairview Elementary,44,B,66.9,2
Davidson County Schools,290344,Midway Elementary,35.9,B,66.9,2
Lincoln County Schools,550336,Love Memorial Elementary,69.5,B,66.9,2
Wake County Schools,920349,Bryan Road Elementary,48.8,B,66.9,2
Charter Schools,26B000,Alpha Academy,49.3,B,66.9,2
Alexander County Schools,20330,West Alexander Middle,35.3,B,66.8,2
Whiteville City Schools,241304,Central Middle,76.8,C,66.8,2
Granville County Schools,390333,Mount Energy Elementary,55.1,B,66.8,2
Hoke County Schools,470340,Rockfish Hoke Elementary,41.2,C,66.8,2
Lenoir County Public Schools,540320,Moss Hill Elementary,72,B,66.8,2
Stokes County Schools,850348,Sandy Ridge Elementary,61,B,66.8,2
Cherokee County Schools,200332,Peachtree Elementary,38.3,C,66.7,2
Cumberland County Schools,260375,Grays Creek Elementary,50.9,B,66.7,2
Forsyth County Schools,340320,Brunson Elementary,45,C,66.7,2
New Hanover County Schools,650325,Emma B Trask Middle,55.7,B,66.7,2
Columbus County Schools,240368,Nakina Middle,65.8,C,66.6,2
Moore County Schools,630324,Sandhills Farm Life Elementary,16.1,C,66.6,2
Rutherford County Schools,810364,Mt. Vernon-Ruth Elementary School,40.9,B,66.5,2
Dare County Schools,280330,First Flight High School,21,B,66.4,2
Franklin County Schools,350331,Long Mill Elementary,58.8,B,66.4,2
Gaston County Schools,360360,Cherryville High,47.3,B,66.4,2
New Hanover County Schools,650304,Bradley Creek Elementary,52.4,C,66.4,2
Onslow County Schools,670352,Swansboro High,39.5,B,66.4,2
Wilkes County Schools,970344,Mount Pleasant Elementary School,34.1,C,66.4,2
Franklin County Schools,350316,Edward Best Elementary,67.6,B,66.3,2
Guilford County Schools,410382,Gibsonville Elementary,52.3,B,66.3,2
Mooresville City Schools,491308,Mooresville Middle,36.2,C,66.3,2
Randolph County Schools,760328,Grays Chapel Elementary,52.5,C,66.3,2
Charter Schools,01C000,Clover Garden,11,B,66.3,2
Charter Schools,49F000,Langtree Charter Academy,7.9,C,66.3,2
Hickory City Schools,181336,Oakwood Elementary,51.5,C,66.2,2
Charlotte-Mecklenburg Schools,600408,Lawrence Orr Elementary,53.9,B,66.2,2
Rockingham County Schools,790380,Rockingham County Middle,43.2,C,66.2,2
Wake County Schools,920416,Fuller Elementary,40.2,C,66.2,2
Davidson County Schools,290334,Ledford Middle,37.3,B,66.1,2
Charlotte-Mecklenburg Schools,600379,Eastover Elementary,25.8,B,66.1,2
Onslow County Schools,670338,Parkwood Elementary,48.1,B,66.1,2
Union County Public Schools,900342,Porter Ridge High School,25.5,B,66.1,2
Carteret County Public Schools,160310,Beaufort Middle,67,B,66,2
Catawba County Schools,180342,Jacobs Fork Middle,41.8,B,66,2
Gaston County Schools,360396,Forestview High,34.1,B,66,2
New Hanover County Schools,650362,Pine Valley Elementary,55,B,66,2
Cleveland County Schools,230316,Burns Middle,59.4,B,65.9,2
Dare County Schools,280328,First Flight Middle School,29.2,C,65.9,2
Forsyth County Schools,340350,Clemmons Middle School,48.2,B,65.9,2
Johnston County Schools,510373,Powhatan Elementary,20.5,C,65.9,2
Johnston County Schools,510377,River Dell Elementary,22.2,B,65.9,2
Charlotte-Mecklenburg Schools,600535,South Mecklenburg High,40.3,B,65.9,2
Asheboro City Schools,761328,Guy B Teachey Elementary,66.7,B,65.9,2
Rowan-Salisbury Schools,800312,Bostian Elementary,32.4,C,65.9,2
Sampson County Schools,820346,Hobbton Elementary,63.2,C,65.9,2
Surry County Schools,860326,J Sam Gentry Middle,60.8,B,65.9,2
Davidson County Schools,290349,Oak Grove High,27.2,B,65.8,2
New Hanover County Schools,650351,Myrtle Grove Middle,49.8,C,65.8,2
Person County Schools,730354,Stories Creek Elementary,48.2,B,65.8,2
Pitt County Schools,740380,W H Robinson Elementary,54.1,B,65.8,2
Union County Public Schools,900364,Union Elementary,66.9,B,65.8,2
Wake County Schools,920327,Ballentine Elementary,27,C,65.8,2
Yadkin County Schools,990304,Boonville Elementary,63.3,B,65.8,2
Charter Schools,07A000,Washington Montessori,10,C,65.8,2
Chatham County Schools,190332,J S Waters School,54.3,B,65.7,2
Craven County Schools,250340,Havelock High,50.6,B,65.7,2
Rowan-Salisbury Schools,800352,Faith Elementary,44.4,B,65.7,2
Surry County Schools,860320,Flat Rock Elementary,59.1,B,65.7,2
Wilkes County Schools,970370,Ronda-Clingman Elementary School,26.5,B,65.7,2
Caldwell County Schools,140352,Hudson Elementary,61.9,B,65.6,2
Forsyth County Schools,340334,Cash Elementary,43.4,B,65.6,2
Charlotte-Mecklenburg Schools,600333,Carmel Middle,37.9,B,65.6,2
Nash-Rocky Mount Schools,640324,Coopers Elementary,54.3,B,65.6,2
Wake County Schools,920412,Enloe High,26.1,B,65.6,2
Wake County Schools,920506,Moore Square Middle,29.7,C,65.6,2
Charter Schools,61S000,Unity Classical Charter,18.8,C,65.6,2
Alexander County Schools,20304,Bethlehem Elementary,30.9,B,65.5,2
Carteret County Public Schools,160332,Down East Middle and Smyrna Elementary,71.1,C,65.5,2
Hertford County Schools,460312,Bearfield Primary,64.6,C,65.5,2
Wake County Schools,920380,Conn Elementary,40,C,65.5,2
Charter Schools,98A000,Sallie B Howard School,61.1,B,65.5,2
Haywood County Schools,440328,Clyde Elementary,46.2,B,65.4,2
McDowell County Schools,590316,Glenwood Elementary School,52.9,B,65.4,2
Watauga County Schools,950316,Cove Creek Elementary,48.6,B,65.4,2
Charter Schools,32K000,Central Park School For Child,29.6,B,65.4,2
Charter Schools,49B000,American Renaissance School,13.9,B,65.4,2
Clay County Schools,220308,Hayesville Elementary,64.2,C,65.3,2
Haywood County Schools,440368,North Canton Elementary,48.9,C,65.3,2
Charlotte-Mecklenburg Schools,600590,River Gate Elementary,42.9,B,65.3,2
Union County Public Schools,900344,Parkwood High,29.1,B,65.3,2
Catawba County Schools,180302,Harry M Arndt Middle,50.1,B,65.2,2
Cumberland County Schools,260366,Howard L Hall Elementary,48,C,65.2,2
Guilford County Schools,410451,John Van Lindley Elementary,54.1,B,65.2,2
Haywood County Schools,440378,Pisgah High,40.9,B,65.2,2
Surry County Schools,860339,Pilot Mountain Elementary,52.5,C,65.2,2
