,county,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
62,Ashe,5.2,0.0,1.1,12.3,12.5,5.5,7.1,2.0,23.3,41864.0,50330,Mountain View Elementary,Jefferson,"2789 Hwy 221 N, Jefferson, NC 28640",-81.443943,36.433898,Ashe County Schools,63.40,B,69.90,2.0
63,Ashe,5.2,0.0,1.1,12.3,12.5,5.5,7.1,2.0,23.3,41864.0,50302,Ashe County High,West Jefferson,"184 Campus Drive, West Jefferson, NC 28694",-81.478117,36.392264,Ashe County Schools,51.50,C,51.40,3.0
64,Ashe,5.2,0.0,1.1,12.3,12.5,5.5,7.1,2.0,23.3,41864.0,50335,Westwood Elementary,West Jefferson,"4083 US Hwy 221S, West Jefferson, NC 28694",-81.4894697,36.3767529,Ashe County Schools,60.50,B,68.20,2.0
65,Ashe,5.2,0.0,1.1,12.3,12.5,5.5,7.1,2.0,23.3,41864.0,50305,Ashe County Middle,Warrensville,"255 Northwest Lane, Warrensville, NC 28693",-81.509979,36.462739,Ashe County Schools,55.40,B,72.00,2.0
66,Ashe,5.2,0.0,1.1,12.3,12.5,5.5,7.1,2.0,23.3,41864.0,50310,Blue Ridge Elementary,Warrensville,"5778 NC Hwy 88 W, Warrensville, NC 28693",-81.531441,36.4618417,Ashe County Schools,60.10,B,71.90,2.0
67,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,60304,Banner Elk Elementary,Banner Elk,"155 Orchard Lane, Banner Elk, NC 28604",-81.8572987,36.1488516,Avery County Schools,52.50,B,68.40,2.0
68,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,06A000,Grandfather Academy,Banner Elk,"64 Grandfather Home Drive, Banner Elk, NC 28604",-81.8783765,36.1521736,Charter Schools,50.00,F,<5,1.0
69,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,60318,Avery Middle,Newland,"102 Old Montezuma Road, Newland, NC 28657",-81.9159937,36.067157,Avery County Schools,55.70,B,70.80,2.0
70,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,60701,Avery High Viking Academy,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387,Avery County Schools,60.00,F,10.50,5.0
71,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,60302,Avery County High,Newland,"401 Avery County High School Road, Newland, NC 28657",-81.91897,36.0692387,Avery County Schools,46.90,B,62.50,2.0
