county,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Anson,1,29.20,38023,40309,Anson Middle,Wadesboro,"832 US Hwy 52 N, Wadesboro, NC 28170",-80.0882123,34.9896098,Anson County Schools,55.20,D,35.60,4.00
Anson,1,29.20,38023,40306,Anson High School,Wadesboro,"96 Anson High School Road, Wadesboro, NC 28170",-80.1037392,34.9768643,Anson County Schools,50.70,D,23.50,4.00
Anson,1,29.20,38023,40308,Ansonville Elementary,Ansonville,"9104 Hwy 52 N, Ansonville, NC 28007",-80.10718,35.1051069,Anson County Schools,42.10,B,63.90,2.00
Anson,1,29.20,38023,40304,Anson Co. Early College High,Polkton,"177 Ledbetter Street, Polkton, NC 28135",-80.2114155,34.9987204,Anson County Schools,33.60,B,56.50,3.00
Anson,1,29.20,38023,40328,Peachland-Polkton Elem,Peachland,"9633 Hwy 74 W, Peachland, NC 28133",-80.2303847,34.9950434,Anson County Schools,46.90,B,77.50,2.00
Ashe,2,23.30,41864,50303,Ashe County Early College High,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Ashe County Schools,36.70,A,95.00,1.00
Ashe,2,23.30,41864,50330,Mountain View Elementary,Jefferson,"2789 Hwy 221 N, Jefferson, NC 28640",-81.443943,36.433898,Ashe County Schools,63.40,B,69.90,2.00
Ashe,2,23.30,41864,50302,Ashe County High,West Jefferson,"184 Campus Drive, West Jefferson, NC 28694",-81.478117,36.392264,Ashe County Schools,51.50,C,51.40,3.00
Ashe,2,23.30,41864,50335,Westwood Elementary,West Jefferson,"4083 US Hwy 221S, West Jefferson, NC 28694",-81.4894697,36.3767529,Ashe County Schools,60.50,B,68.20,2.00
Ashe,2,23.30,41864,50305,Ashe County Middle,Warrensville,"255 Northwest Lane, Warrensville, NC 28693",-81.509979,36.462739,Ashe County Schools,55.40,B,72.00,2.00
Ashe,2,23.30,41864,50310,Blue Ridge Elementary,Warrensville,"5778 NC Hwy 88 W, Warrensville, NC 28693",-81.531441,36.4618417,Ashe County Schools,60.10,B,71.90,2.00
Avery,2,24.40,41701,60304,Banner Elk Elementary,Banner Elk,"155 Orchard Lane, Banner Elk, NC 28604",-81.8572987,36.1488516,Avery County Schools,52.50,B,68.40,2.00
Avery,2,24.40,41701,06A000,Grandfather Academy,Banner Elk,"64 Grandfather Home Drive, Banner Elk, NC 28604",-81.8783765,36.1521736,Charter Schools,50.00,F,<5,1.00
Avery,2,24.40,41701,60318,Avery Middle,Newland,"102 Old Montezuma Road, Newland, NC 28657",-81.9159937,36.067157,Avery County Schools,55.70,B,70.80,2.00
Avery,2,24.40,41701,60701,Avery High Viking Academy,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387,Avery County Schools,60.00,F,10.50,5.00
