id,code,name,city,full_address,long,lat,district,county,SPgrade,EOG_18_19,EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,parent,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
1818,490368,Union Grove Elementary,Union Grove,"1314 Sloans Mill Rd, Union Grove, NC 28689",-80.865026,36.0229687,Iredell-Statesville Schools,Iredell,C,47.7,3,49.4,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
1819,770346,Monroe Avenue Elementary,Hamlet,"400 Monroe Ave, Hamlet, NC 28345",-79.6973927,34.8943163,Richmond County Schools,Richmond,C,47.6,3,92.1,0.5,26.6,2.4,31.8,17.9,14.7,42.4,1,29.1,38514
1820,670332,Northwoods Elementary,Jacksonville,"617 Henderson Dr, Jacksonville, NC 28540",-77.4273565,34.7722872,Onslow County Schools,Onslow,C,47.6,3,72.2,5.5,1.8,1.1,13.7,5.9,8.6,32.3,1,21.3,50531
1821,680324,Efland Cheeks Elementary,Efland,"4401 Fuller Rd, Efland, NC 27243",-79.187921,36.083308,Orange County Schools,Orange,C,47.6,3,65.9,0.7,5.3,1.3,7.8,5.9,3.3,29.4,3,9.2,71920
1822,680330,New Hope Elementary,Chapel Hill,"1900 New Hope Church Rd, Chapel Hill, NC 27514",-79.075856,36.019651,Orange County Schools,Orange,C,47.6,3,61.5,0.7,5.3,1.3,7.8,5.9,3.3,29.4,3,9.2,71920
1823,900316,Forest Hills High,Marshville,"100 Forest Hills School Rd, Marshville, NC 28103",-80.414609,34.979545,Union County Public Schools,Union,C,47.6,3,60,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
1824,920600,Wendell Elementary,Wendell,"3355 Wendell Blvd, Wendell, NC 27591",-78.3725453,35.7854223,Wake County Schools,Wake,C,47.6,3,47.2,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
1825,410397,Western Guilford Middle,Greensboro,"401 College Road, Greensboro, NC 27410",-79.8946519,36.083142,Guilford County Schools,Guilford,D,47.5,3,76.4,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
1826,260400,Montclair Elementary,Fayetteville,"555 Glensford Drive, Fayetteville, NC 28314",-78.960719,35.055219,Cumberland County Schools,Cumberland,C,47.5,3,71.5,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
1827,420304,Aurelian Springs Institute of Global Lea,Littleton,"10536 Hwy 48, Littleton, NC 27850",-77.8081687,36.3638809,Halifax County Schools,Halifax,C,47.5,3,69.5,4.9,51.2,3.1,25.7,18.1,15.4,61.5,1,31.3,36760
1828,350336,Louisburg High,Louisburg,"201 Allen Lane, Louisburg, NC 27549",-78.299592,36.110143,Franklin County Schools,Franklin,C,47.5,3,56.5,0.8,11.8,1,4.8,12.6,9.2,35.7,2,18.7,57710
1829,390322,Granville Central High,Stem,"2043 Sanders Rd, Stem, NC 27581",-78.6882442,36.2087767,Granville County Schools,Granville,C,47.5,3,55.1,4,13,1.3,6.7,11.9,10.2,41.4,2,18.4,58956
1830,600518,Ridge Road Middle,Charlotte,"7260 Highland Creek Pkwy, Charlotte, NC 28269",-80.762146,35.377548,Charlotte-Mecklenburg Schools,Mecklenburg,C,47.5,3,53.8,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
1831,770351,Richmond 9th Grade Academy,Hamlet,"804 County Home Rd, Hamlet, NC 28345",-79.6942892,34.918789,Richmond County Schools,Richmond,C,47.4,3,72.5,0.5,26.6,2.4,31.8,17.9,14.7,42.4,1,29.1,38514
1832,920302,River Bend Elementary,Raleigh,"6710 Perry Creek Road, Raleigh, NC 27616",-78.5363797,35.8649555,Wake County Schools,Wake,C,47.4,3,60.4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
1833,260368,Hope Mills Middle,Hope Mills,"4975 Cameron Road, Hope Mills, NC 28348",-78.9399003,34.9655563,Cumberland County Schools,Cumberland,D,47.4,3,55.1,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
1834,410313,Southern Guilford Middle,Greensboro,"5747 Drake Rd, Greensboro, NC 27406",-79.8508875,35.9434977,Guilford County Schools,Guilford,D,47.4,3,52.5,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
1835,180320,Bunker Hill High,Claremont,"4675 Oxford School Road, Claremont, NC 28610",-81.119349,35.7540054,Catawba County Schools,Catawba,C,47.4,3,50,2.6,5.3,1.1,15.1,14.3,7.1,23.7,2,18.7,53738
1836,90318,Bladen Lakes Primary,Elizabethtown,"9554 Johnsontown Road, Elizabethtown, NC 28337",-78.595286,34.711064,Bladen County Schools,Bladen,D,47.3,3,83.5,2.4,16.2,0.9,7.1,19.1,15.8,44.7,1,41.8,36976
1837,240304,Acme Delco Middle,Delco,"26133 Andrew Jackson Hwy, Delco, NC 28436",-78.7141765,34.3485085,Columbus County Schools,Columbus,C,47.3,3,79.5,6.9,17.8,1.6,20.5,15,20.3,40.1,1,34,36862
1838,540316,La Grange Elementary,La Grange,"402 W Railroad St, La Grange, NC 28551",-77.7966394,35.3111927,Lenoir County Public Schools,Lenoir,C,47.3,3,76.8,4.2,21.2,1.7,13.7,13.5,11.3,50.3,1,37.2,40433
1839,830304,Carver Middle,Laurel Hill,"18601 Fieldcrest Road, Laurel Hill, NC 28351",-79.5202088,34.8207073,Scotland County Schools,Scotland,D,47.3,3,75.2,8.3,29.6,1.1,31.7,17.2,20.7,55.8,1,38.4,36730
1840,910340,New Hope Elementary,Henderson,"10199 NC 39 Hwy N, Henderson, NC 27537",-78.442096,36.4643118,Vance County Schools,Vance,D,47.3,3,75.1,4.7,29.8,2,24.5,15.5,11.8,60.4,1,32.9,40263
1841,730344,Northern Middle,Roxboro,"1935 Carver Dr, Roxboro, NC 27574",-78.9780474,36.4282915,Person County Schools,Person,D,47.3,3,71.4,8.9,13.7,1.5,23.3,11.1,9.4,33.2,2,22.6,50149
1842,940306,Creswell Elementary,Creswell,"200 South Seventh St, Creswell, NC 27928",-76.3970472,35.870622,Washington County Schools,Washington,D,47.3,3,53.5,10.6,0,0.6,15.3,14.5,12.8,55.2,1,38.7,36042
1843,140396,Whitnel Elementary,Lenoir,"1425 Berkley Street SW, Lenoir, NC 28645",-81.5217394,35.8903124,Caldwell County Schools,Caldwell,C,47.3,3,50.8,2.8,7.1,0.5,19.1,17.2,7.6,11.9,1,20.3,43328
1844,600512,Rama Road Elementary,Charlotte,"1035 Rama Rd, Charlotte, NC 28211",-80.7715531,35.169906,Charlotte-Mecklenburg Schools,Mecklenburg,C,47.3,3,50.7,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
1845,600501,Pinewood Elementary,Charlotte,"805 Seneca Pl, Charlotte, NC 28210",-80.8645023,35.1663759,Charlotte-Mecklenburg Schools,Mecklenburg,C,47.3,3,48.9,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
1846,830328,Laurel Hill Elementary,Laurel Hill,"11340 Old Wire Road, Laurel Hill, NC 28351",-79.5203159,34.82265,Scotland County Schools,Scotland,D,47.2,3,77.9,8.3,29.6,1.1,31.7,17.2,20.7,55.8,1,38.4,36730
1847,520320,Jones Senior High,Trenton,"1490 Hwy 58 South, Trenton, NC 28585",-77.3340229,35.0332811,Jones County Schools,Jones,B,47.2,3,64.7,7.7,33.8,0,30.1,16.7,6.2,37.1,1,28.8,43302
1848,41C000,Guilford Preparatory Academy,Greensboro,"2210 East Cone Blvd, Greensboro, NC 27405",-79.7466868,36.1122476,Charter Schools,Guilford,C,47.2,3,63.9,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
1849,670322,Hunters Creek Middle,Jacksonville,"4040 Hunters Trail, Jacksonville, NC 28546",-77.3351971,34.7421965,Onslow County Schools,Onslow,D,47.2,3,56.3,5.5,1.8,1.1,13.7,5.9,8.6,32.3,1,21.3,50531
1850,900304,Benton Heights Elementary,Monroe,"1200 Concord Ave, Monroe, NC 28110",-80.5535799,34.9935991,Union County Public Schools,Union,C,47.2,3,47.4,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
1851,240372,Tabor City Elementary,Tabor City,"203 Stake Road, Tabor City, NC 28463",-78.8739183,34.1517631,Columbus County Schools,Columbus,D,47.1,3,75.3,6.9,17.8,1.6,20.5,15,20.3,40.1,1,34,36862
1852,780384,Prospect Elementary,Maxton,"4024 Missouri Road, Maxton, NC 28364",-79.2324041,34.7326052,Robeson County Schools,Robeson,C,47.1,3,74.4,9.9,39.3,1.4,19.1,19.8,19.3,74.2,1,34.7,35407
1853,390360,Stovall-Shaw Elementary,Stovall,"7696 Hwy 15 N, Stovall, NC 27582",-78.5763221,36.4386131,Granville County Schools,Granville,D,47.1,3,65,4,13,1.3,6.7,11.9,10.2,41.4,2,18.4,58956
1854,96F000,Wayne Preparatory Academy,Goldsboro,"600 Tommy's Road, Goldsboro, NC 27530",-77.9592556,35.4230986,Charter Schools,Wayne,C,47.1,3,32.9,2.1,33.2,1.2,10.4,13.8,11,46,1,29.4,41572
1855,140332,Gamewell Middle,Lenoir,"3210 Gamewell School Road, Lenoir, NC 28645",-81.5985465,35.8713259,Caldwell County Schools,Caldwell,C,47,3,77.3,2.8,7.1,0.5,19.1,17.2,7.6,11.9,1,20.3,43328
1856,920384,Creech Road Elementary,Garner,"450 Creech Rd, Garner, NC 27529",-78.599874,35.714984,Wake County Schools,Wake,C,47,3,73.3,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
1857,930330,Mariam Boyd Elementary,Warrenton,"203 Cousin Lucy's Lane, Warrenton, NC 27589",-78.159099,36.3943723,Warren County Schools,Warren,C,47,3,65.4,2.7,26.5,2.1,14.9,16.1,18.7,61.2,1,29.7,38430
1858,320324,Hillandale Elementary,Durham,"2730 Hillandale Road, Durham, NC 27705",-78.932664,36.052487,Durham Public Schools,Durham,C,47,3,65.2,2,20.5,0.9,9.9,11.5,8.6,56.6,3,18.9,59329
1859,70339,Southside High,Chocowinity,"5700 Hwy 33 East, Chocowinity, NC 27817",-77.0568718,35.4461925,Beaufort County Schools,Beaufort,C,47,3,58,5,0,1.8,29.2,11.8,12,33.8,1,26.2,46411
1860,13B000,Cabarrus Charter Academy,Concord,"355 Poplar Crossing Dr NW, Concord, NC 28027",-80.668976,35.4087319,Charter Schools,Cabarrus,D,47,3,36.1,3.6,4.5,1,6.5,8.2,3.4,34.2,3,10.9,69297
1861,350332,Louisburg Elementary,Louisburg,"50 Stone Southerland Road, Louisburg, NC 27549",-78.3012804,36.07836,Franklin County Schools,Franklin,C,46.9,3,85.2,0.8,11.8,1,4.8,12.6,9.2,35.7,2,18.7,57710
1862,430347,Harnett Central Middle,Angier,"2529 Harnett Central Rd, Angier, NC 27501",-78.7861368,35.4627231,Harnett County Schools,Harnett,D,46.9,3,59.3,2.9,1.8,1.7,13.4,10.5,7.9,37.6,2,20.5,51225
1863,650352,New Hanover High,Wilmington,"1307 Market St, Wilmington, NC 28401",-77.9323226,34.2373594,New Hanover County Schools,New Hanover,C,46.9,3,54.6,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
1864,10372,Pleasant Grove Elementary,Burlington,"2847 Pleasant Grv Sch Road, Burlington, NC 27217",-79.3056019,36.217398,Alamance-Burlington Schools,Alamance,D,46.9,3,52,4.4,16,1.6,21.2,12.6,8.6,35.8,2,18.3,50480
1865,330308,G W Carver Elementary,Pinetops,"700 East Hamlet Street, Pinetops, NC 27864",-77.6307473,35.787811,Edgecombe County Public School,Edgecombe,C,46.9,3,50.1,1.3,27.7,2.6,13.1,18,14.5,63.4,1,34,38818
1866,340564,Wiley Magnet Middle,Winston Salem,"1400 Northwest Boulevard, Winston Salem, NC 27104",-80.264306,36.0996928,Forsyth County Schools,Forsyth,C,46.9,3,47.6,1.1,27.9,1.5,23.3,9.8,9.5,42.7,2,23,50112
1867,350318,Franklinton Elementary,Franklinton,"431 S Hillsborough St., Franklinton, NC 27525",-78.461682,36.0971603,Franklin County Schools,Franklin,C,46.8,3,79.3,0.8,11.8,1,4.8,12.6,9.2,35.7,2,18.7,57710
1868,26C000,The Capitol Encore Academy,Fayetteville,"126 Hay Street, Fayetteville, NC 28301",-78.8790444,35.0534229,Charter Schools,Cumberland,D,46.8,3,59.1,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
1869,960330,Eastern Wayne High,Goldsboro,"1135 New Hope Road, Goldsboro, NC 27534",-77.8817899,35.3773617,Wayne County Public Schools,Wayne,C,46.8,3,52.3,2.1,33.2,1.2,10.4,13.8,11,46,1,29.4,41572
1870,830349,Spring Hill Middle,Laurinburg,"22801 Airbase Road, Laurinburg, NC 28352",-79.3772655,34.8691076,Scotland County Schools,Scotland,D,46.7,3,76.5,8.3,29.6,1.1,31.7,17.2,20.7,55.8,1,38.4,36730
1871,260404,William H Owen Elementary,Fayetteville,"4533 Raeford Road, Fayetteville, NC 28304",-78.9541728,35.0420546,Cumberland County Schools,Cumberland,D,46.7,3,72,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
