id,EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,parent,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
551,2,48.5,12.5,11.4,2,16.6,13.3,11.6,16,1,25.9,42831
552,2,37.9,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
553,2,4,0.9,11.2,0.4,14.2,12.3,5.7,27.3,3,13.1,73703
554,2,65.7,0,0,1,47.3,6,5.6,11.4,2,12.9,64768
555,2,61.3,9.9,39.3,1.4,19.1,19.8,19.3,74.2,1,34.7,35407
556,2,42.1,2.7,0,0.9,23.2,17,12.5,17.6,2,19.9,44946
557,2,25.7,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
558,2,78.6,7.6,2.6,0.6,13.3,6.2,7.4,12.3,2,15.5,55052
559,2,64.6,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
560,2,45.2,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
561,2,44.2,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
562,2,42.2,2.9,1.8,1.7,13.4,10.5,7.9,37.6,2,20.5,51225
563,2,29.5,3.3,12.3,1,17.6,15.1,8.7,19.3,2,20,47758
564,2,28.7,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
565,2,28.5,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
566,2,28.4,7,0,1.8,15,13.8,4,18.6,2,18.6,51491
567,2,11.7,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
568,2,9.9,1.1,27.9,1.5,23.3,9.8,9.5,42.7,2,23,50112
569,2,63.4,5.2,0,1.1,12.3,12.5,5.5,7.1,2,23.3,41864
570,2,45,2.2,22.5,1.9,18.4,16.7,12.7,52.5,1,29.6,44015
571,2,40.6,12.8,13.8,2.3,19.9,12.4,10.5,17.9,2,20.4,44502
572,2,19.8,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
573,2,66.6,5,0,1.8,29.2,11.8,12,33.8,1,26.2,46411
574,2,58.9,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
575,2,58.2,9.1,0,0.7,9,14.3,7.7,7.3,2,23.3,44756
576,2,55.8,13.8,16.7,1.4,24.4,14,10.6,26.3,1,27.1,42728
577,2,39.4,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
578,2,44.7,5.2,29.2,0.8,23.3,8.9,5.8,44.9,1,25.6,43303
579,2,42.1,3.3,3.5,1.4,13.7,17.5,9.9,20.3,2,19.1,48372
580,2,32.8,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
581,2,28.1,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
582,2,6.8,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
583,2,63.4,3.3,12.3,1,17.6,15.1,8.7,19.3,2,20,47758
584,2,38.9,3.6,4.5,1,6.5,8.2,3.4,34.2,3,10.9,69297
585,2,38.8,2,20.5,0.9,9.9,11.5,8.6,56.6,3,18.9,59329
586,2,30.4,2.6,5.3,1.1,15.1,14.3,7.1,23.7,2,18.7,53738
587,2,49.7,7.8,0,1.5,15.2,11.8,13.8,6.7,3,20.1,47183
588,2,44.3,2.9,0,1.7,27,17.5,5.3,12.5,2,18.8,49138
589,2,5.3,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
590,2,32.4,3,0,1.5,14.3,9.7,6.7,23.9,3,20.8,54900
591,2,24.3,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
592,2,13.8,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
593,2,61.9,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
594,2,60.6,7.6,2.6,0.6,13.3,6.2,7.4,12.3,2,15.5,55052
595,2,47.5,0.2,14.6,2.3,17.8,15.9,15.2,26.7,1,24.2,41869
596,2,41.8,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
597,2,41.6,1.1,27.9,1.5,23.3,9.8,9.5,42.7,2,23,50112
598,2,40.8,12.5,11.4,2,16.6,13.3,11.6,16,1,25.9,42831
599,2,28.8,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
600,2,27,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
601,2,56.1,7,0,1.8,15,13.8,4,18.6,2,18.6,51491
602,2,53.7,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
603,2,45.6,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
604,2,45.5,2.8,7.1,0.5,19.1,17.2,7.6,11.9,1,20.3,43328
605,2,43.8,5.5,1.8,1.1,13.7,5.9,8.6,32.3,1,21.3,50531
606,2,39.3,0.9,11.2,0.4,14.2,12.3,5.7,27.3,3,13.1,73703
607,2,35.7,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
608,2,52.2,13.8,16.7,1.4,24.4,14,10.6,26.3,1,27.1,42728
609,2,47.4,2.7,5.2,0.8,16.1,8.7,7.6,33.1,2,22.5,50748
610,2,39.7,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
611,2,35.8,7.8,4.1,1,13.1,8.2,5.6,15.9,3,15,54012
612,2,35.1,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
613,2,58.3,7.6,2.6,0.6,13.3,6.2,7.4,12.3,2,15.5,55052
614,2,51.8,3.1,0,1.2,31.1,16.8,13.9,15.2,2,20.2,49070
615,2,48.8,2.6,0,0.7,13,11.5,9.7,8.7,2,21.3,51398
616,2,45.5,4.4,16,1.6,21.2,12.6,8.6,35.8,2,18.3,50480
617,2,41.2,4.4,16,1.6,21.2,12.6,8.6,35.8,2,18.3,50480
618,2,37.3,2,46.7,1.4,24.1,16.3,5.4,66.5,1,30.6,38216
619,2,32.5,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
620,2,67,9.5,0,1.5,16.9,12.9,6.1,8,2,16.6,50826
621,2,49.5,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
622,2,46.5,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
623,2,44,8.9,13.7,1.5,23.3,11.1,9.4,33.2,2,22.6,50149
