District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Rowan-Salisbury Schools,800410,West Rowan Middle,06-08,58.7,D,43.5,,,
Forsyth County Schools,340380,Gibson Elementary,PK-05,63.5,D,43.5,,,
Wayne County Public Schools,960386,Spring Creek High,09-12,62.3,C,43.5,,,
Chatham County Schools,190312,Chatham Middle,06-08,87.2,D,43.5,,,
Nash-Rocky Mount Schools,640328,Englewood Elementary,03-05,53.4,D,43.4,,,
Moore County Schools,630350,Southern Middle,06-08,64.8,D,43.4,,,
Wake County Schools,920408,East Millbrook Middle,06-08,68.9,D,43.4,,,
Person County Schools,730352,Person High,09-12,50.3,C,43.4,,,
Pitt County Schools,740324,C M Eppes Middle,06-08,76.6,D,43.4,,,
Durham Public Schools,320360,Oak Grove Elementary,PK-05,79.4,D,43.4,,,
Robeson County Schools,780330,L Gilbert Carroll Middle,04-06,81.6,D,43.4,,,
Charter Schools,49G000,Iredell Charter Academy,0K-08,36.1,D,43.3,,,
Lexington City Schools,291308,Charles England Elementary School,01-05,65.5,C,43.3,,,
Guilford County Schools,410406,High Point Central High,09-12,65.2,C,43.3,,,
Lexington City Schools,291332,Lexington Middle School,06-08,60.9,D,43.3,,,
Granville County Schools,390311,Butner-Stem Elementary,PK-05,72.0,D,43.3,,,
Newton Conover City Schools,182328,North Newton Elementary,PK-05,73.6,D,43.3,,,
Pitt County Schools,740374,North Pitt High,09-12,61.3,C,43.3,,,
Greene County Schools,400332,West Greene Elementary,02-03,76.1,D,43.3,,,
Gaston County Schools,360340,Brookside Elementary,PK-05,47.4,D,43.2,,,
Duplin County Schools,310304,B F Grady Elementary,PK-08,69.5,D,43.2,,,
Charter Schools,06B000,Marjorie Williams Academy,0K-12,74.1,D,43.2,,,
Pitt County Schools,740368,Lakeforest Elementary,PK-05,74.4,D,43.2,,,
Bladen County Schools,090352,Plain View Primary,PK-04,77.9,D,43.2,,,
Cumberland County Schools,260405,Walker-Spivey Elementary,0K-05,91.4,D,43.2,,,
Charlotte-Mecklenburg Schools,600301,Albemarle Road Middle,06-08,49.1,D,43.1,,,
Roanoke Rapids City Schools,421316,Roanoke Rapids High School,09-12,52.8,C,43.1,,,
Charlotte-Mecklenburg Schools,600416,Hornets Nest Elementary,PK-05,49.9,D,43.0,,,
Harnett County Schools,430378,Triton High,09-12,58.8,C,43.0,,,
Iredell-Statesville Schools,490310,Career Academy and Technical School,0K-12,6.3,C,43.0,,,
Scotland County Schools,830360,Wagram Elementary,PK-05,81.0,D,43.0,,,
Rowan-Salisbury Schools,800316,China Grove Elementary,PK-05,35.7,D,42.9,,,
Thomasville City Schools,292324,Thomasville High,09-12,45.0,C,42.9,,,
Bertie County Schools,080356,West Bertie Elementary,PK-05,68.9,D,42.9,,,
Robeson County Schools,780364,Pembroke Elementary,PK-05,83.4,D,42.9,,,
Roanoke Rapids City Schools,421304,Belmont Elementary School,PK-05,80.4,C,42.8,,,
Lee County Schools,530336,Lee County High,09-12,56.2,C,42.8,,,
Bladen County Schools,090365,Tar Heel Middle,05-08,83.9,D,42.8,,,
Kannapolis City Schools,132314,GW Carver Elementary,0K-05,30.6,D,42.7,,,
Forsyth County Schools,340372,Flat Rock Middle,06-08,48.0,D,42.7,,,
Charter Schools,13D000,Concord Lake STEAM Academy,0K-08,50.1,D,42.7,,,
Nash-Rocky Mount Schools,640332,M B Hubbard Elementary,0K-05,49.3,C,42.7,,,
Cumberland County Schools,260402,Manchester Elementary,PK-05,73.2,D,42.7,,,
Charter Schools,93J000,PAVE Southeast Raleigh Charter,0K-04,47.1,D,42.6,,,
Gaston County Schools,360408,W P Grier Middle School,06-08,55.5,D,42.6,,,
Pitt County Schools,740400,Wahl Coates Elementary,PK-05,78.6,D,42.6,,,
Wake County Schools,920618,Wildwood Forest Elementary,PK-05,63.5,D,42.5,,,
Robeson County Schools,780420,Purnell Swett High,09-12,74.8,C,42.5,,,
Wayne County Public Schools,960316,Carver Elementary,PK-04,79.3,D,42.5,,,
Wilson County Schools,980317,Charles H Darden Middle,06-08,63.3,C,42.5,,,
Charlotte-Mecklenburg Schools,600478,J H Gunn Elementary,0K-05,48.5,D,42.4,,,
Charlotte-Mecklenburg Schools,600365,Devonshire Elementary,0K-05,58.2,D,42.4,,,
Pender County Schools,710326,Pender High,PK-12,81.5,C,42.4,,,
Rockingham County Schools,790366,Reidsville High,09-12,58.7,C,42.4,,,
Robeson County Schools,780356,Oxendine Elementary,PK-06,85.9,D,42.4,,,
Charter Schools,29A000,Davidson Charter Academy CFA,0K-04,22.7,D,42.3,,,
Alamance-Burlington Schools,010364,North Graham Elementary,PK-05,63.2,D,42.3,,,
Granville County Schools,390331,Mary Potter Middle,06-08,76.0,D,42.3,,,
Charter Schools,65B000,Wilmington Preparatory Academy,0K-08,79.3,D,42.3,,,
Charter Schools,60K000,Charlotte Secondary,06-12,28.0,C,42.3,,,
Rowan-Salisbury Schools,800358,Isenberg Elementary,PK-05,56.6,D,42.2,,,
Gaston County Schools,360392,Edward D Sadler Jr Elementary School,PK-05,64.3,D,42.2,,,
Pitt County Schools,740310,Belvoir Elementary,PK-05,75.2,D,42.2,,,
Wayne County Public Schools,960348,Mount Olive Middle,05-08,71.9,C,42.2,,,
Pender County Schools,710348,West Pender Middle,06-08,92.2,D,42.2,,,
Durham Public Schools,320328,Holt Elementary,PK-05,82.1,C,42.1,,,
Union County Public Schools,900370,Walter Bickett Elementary,PK-05,56.0,D,42.1,,,
Iredell-Statesville Schools,490380,West Iredell High,09-12,48.1,C,42.1,,,
Tyrrell County Schools,890308,Tyrrell Elementary,PK-05,44.6,D,42.0,,,
Craven County Schools,250372,West Craven High,09-12,64.7,C,42.0,,,
Onslow County Schools,670321,Hunters Creek Elementary,PK-05,66.1,C,42.0,,,
Bladen County Schools,090332,Elizabethtown Middle,05-08,75.5,D,42.0,,,
Forsyth County Schools,340464,Northwest Middle,06-08,45.9,D,41.9,,,
Buncombe County Schools,110384,Oakley Elementary,0K-05,48.2,D,41.9,,,
Cumberland County Schools,260396,Mary McArthur Elementary,PK-05,72.1,D,41.9,,,
Harnett County Schools,430308,Angier Elementary,PK-05,73.5,D,41.9,,,
Johnston County Schools,510408,Wilson's Mills Elementary,PK-05,75.6,D,41.9,,,
Cabarrus County Schools,130342,W M Irvin Elementary,PK-05,49.9,C,41.8,,,
Guilford County Schools,410462,Ronald E. McNair Elementary,PK-05,64.4,D,41.8,,,
Charlotte-Mecklenburg Schools,600577,Westerly Hills Academy,PK-05,72.9,D,41.8,,,
Charlotte-Mecklenburg Schools,600545,Starmount Acad of Excellence,PK-05,40.6,D,41.7,,,
Rowan-Salisbury Schools,800314,Erwin Middle,06-08,51.6,D,41.7,,,
Forsyth County Schools,340428,Konnoak Elementary,PK-05,58.7,D,41.6,,,
Alamance-Burlington Schools,010346,B. Everett Jordan Elementary,0K-05,59.6,D,41.6,,,
Wake County Schools,920549,River Bend Middle,06-08,66.3,D,41.6,,,
Northampton County Schools,660360,Willis Hare Elementary,PK-04,68.3,D,41.6,,,
Wayne County Public Schools,960329,Eastern Wayne Elementary,PK-05,73.1,D,41.6,,,
Alamance-Burlington Schools,010394,Turrentine Middle,06-08,65.0,D,41.5,,,
Granville County Schools,390316,Creedmoor Elementary,PK-05,76.2,D,41.5,,,
Moore County Schools,630320,Elise Middle,06-08,81.0,D,41.5,,,
Lenoir County Public Schools,540326,Northwest Elementary,0K-05,82.0,D,41.5,,,
Bladen County Schools,090368,West Bladen High,09-12,71.7,C,41.4,,,
Edgecombe County Public School,330304,G W Bulluck Elementary,PK-05,60.3,D,41.4,,,
Gaston County Schools,360490,Sherwood Elementary,PK-05,76.1,D,41.4,,,
Caswell County Schools,170344,Stoney Creek Elementary,0K-05,48.2,D,41.3,,,
Charlotte-Mecklenburg Schools,600303,Charlotte East Language Academy,0K-07,57.0,D,41.2,,,
Wayne County Public Schools,960331,Eastern Wayne Middle,06-08,65.3,D,41.2,,,
Pasquotank County Schools,700308,Elizabeth City Middle,06-08,67.0,D,41.2,,,
Forsyth County Schools,340384,Griffith Elementary,PK-05,53.8,D,41.1,,,
Guilford County Schools,410487,Northeast Guilford Middle,06-08,55.0,D,41.1,,,
Halifax County Schools,420340,Inborden Elementary S.T.E.A.M. Academy,PK-05,73.5,C,41.1,,,
Orange County Schools,680312,Central Elementary,PK-05,70.1,D,41.1,,,
Bladen County Schools,090324,Dublin Primary,PK-04,85.2,D,41.1,,,
Durham Public Schools,320339,Lakewood Elementary,PK-05,54.9,C,41.0,,,
Johnston County Schools,510397,Smithfield Middle,06-08,81.3,D,41.0,,,
Pender County Schools,710324,Malpass Corner Elementary,PK-05,90.7,D,41.0,,,
Charter Schools,61P000,"VERITAS Community School, CFA",0K-06,21.6,D,40.9,,,
Cumberland County Schools,260455,Westover High,09-12,66.9,C,40.9,,,
Wake County Schools,920413,Forestville Road Elementary,PK-05,60.9,D,40.8,,,
Cumberland County Schools,260310,Loyd E Auman Elementary,PK-05,65.5,D,40.7,,,
Nash-Rocky Mount Schools,640329,G R Edwards Middle,06-08,50.3,D,40.6,,,
Forsyth County Schools,340382,Robert B Glenn High School,09-12,54.2,C,40.6,,,
Cumberland County Schools,260452,Westarea Elementary,PK-05,80.8,D,40.6,,,
Jackson County Schools,500337,Smokey Mountain Elementary,PK-08,36.0,D,40.4,,,
Cumberland County Schools,260425,South View Middle,06-08,60.3,D,40.4,,,
Guilford County Schools,410334,Brightwood Elementary,PK-05,70.9,D,40.4,,,
Cumberland County Schools,260424,Seventy-First High,09-12,71.7,C,40.3,,,
Charter Schools,65G000,Girls Leadership Academy of Wilmington,06-08,76.5,D,40.3,,,
Robeson County Schools,780320,Deep Branch Elementary,PK-06,90.4,D,40.3,,,
Charlotte-Mecklenburg Schools,600362,David Cox Road Elementary,PK-05,44.0,D,40.2,,,
Gates County Schools,370324,T S Cooper Elementary,0K-05,51.8,D,40.2,,,
Durham Public Schools,320701,Hillside New Tech High,09-12,53.2,C,40.2,,,
Durham Public Schools,320306,Brogden Middle,06-08,74.2,D,40.2,,,
Charlotte-Mecklenburg Schools,600574,Walter G Byers School,PK-08,80.1,D,40.2,,,
Randolph County Schools,760357,Southeastern Randolph Middle,06-08,69.4,D,40.1,,,
Granville County Schools,390700,JF Webb HS Of Health And Life Sciences,09-12,42.8,C,40.0,,,
Charlotte-Mecklenburg Schools,600546,Statesville Road Elementary,PK-05,60.0,D,40.0,,,
Duplin County Schools,310384,Rose Hill-Magnolia Elementary,PK-08,78.9,D,40.0,,,
Charlotte-Mecklenburg Schools,600448,Martin Luther King Jr Middle,06-08,56.2,D,39.8,,,
Durham Public Schools,320304,Bethesda Elementary,PK-05,56.3,D,39.8,,,
Durham Public Schools,320388,W G Pearson Elementary,PK-05,59.9,D,39.8,,,
Davidson County Schools,290365,South Davidson High,09-12,46.9,C,39.7,,,
Robeson County Schools,780391,Red Springs High,09-12,77.3,C,39.7,,,
Rowan-Salisbury Schools,800398,Southeast Middle,06-08,62.4,D,39.6,,,
Charlotte-Mecklenburg Schools,600414,Highland Renaissance Academy,PK-05,63.5,D,39.6,,,
Caldwell County Schools,140390,West Caldwell High,09-12,67.8,C,39.5,,,
Johnston County Schools,510310,Benson Middle,05-08,63.2,D,39.5,,,
Scotland County Schools,830343,Scotland High School,09-12,72.8,C,39.5,,,
Randolph County Schools,760332,Liberty Elementary,PK-05,66.1,D,39.4,,,
Duplin County Schools,310388,Wallace Elementary,PK-08,74.7,D,39.4,,,
Guilford County Schools,410403,Hampton Elem Univ Partnership,PK-05,76.4,D,39.4,,,
New Hanover County Schools,650404,Wrightsboro Elementary,PK-05,79.9,D,39.4,,,
Rowan-Salisbury Schools,800362,Knollwood Elementary,PK-05,37.0,D,39.3,,,
Wake County Schools,920446,Hodge Road Elementary,PK-05,71.9,D,39.3,,,
Union County Public Schools,900336,Monroe High,09-12,70.4,C,39.3,,,
Stanly County Schools,840310,Central Elementary,0K-05,56.8,D,39.2,,,
Guilford County Schools,410316,Allen Middle,06-08,59.5,D,39.2,,,
Halifax County Schools,420376,William R Davie Middle S.T.E.M. Academy,06-08,61.5,D,39.2,,,
Cumberland County Schools,260336,Anne Chesnutt Middle,06-08,63.1,D,39.2,,,
Charlotte-Mecklenburg Schools,600457,Rocky River High,09-12,60.9,C,39.2,,,
Robeson County Schools,780403,Saint Pauls Middle,06-08,78.8,D,39.2,,,
Cumberland County Schools,260386,Margaret Willis Elementary,PK-05,81.5,D,39.2,,,
Robeson County Schools,780376,Piney Grove Elementary,PK-06,87.9,D,39.2,,,
Charter Schools,13C000,A.C.E. Academy,0K-08,57.1,D,39.1,,,
Wilson County Schools,980400,Winstead Elementary,0K-05,68.7,D,39.1,,,
Martin County Schools,580372,Riverside Middle,06-08,54.3,D,39.0,,,
Iredell-Statesville Schools,490327,East Iredell Middle,06-08,73.3,D,39.0,,,
Cumberland County Schools,260358,Luther Nick Jeralds Middle,06-08,82.9,D,39.0,,,
Johnston County Schools,510399,Smithfield-Selma High,09-12,68.0,C,38.8,,,
Craven County Schools,250376,West Craven Middle,06-08,72.9,D,38.7,,,
Robeson County Schools,780374,Peterson Elementary,PK-04,81.0,D,38.7,,,
Guilford County Schools,410538,Sedgefield Elementary,PK-05,60.9,D,38.6,,,
Greene County Schools,400312,Greene County Middle,06-08,70.1,D,38.5,,,
Guilford County Schools,410496,Northwood Elementary,PK-05,59.5,D,38.4,,,
Guilford County Schools,410373,Julius I Foust Elementary,PK-05,67.2,D,38.4,,,
Nash-Rocky Mount Schools,640364,Southern Nash High,09-12,58.5,C,38.4,,,
Cumberland County Schools,260426,Sherwood Park Elementary,PK-05,74.1,D,38.3,,,
Anson County Schools,040324,Morven Elementary,0K-05,76.3,D,38.3,,,
Wake County Schools,920632,Zebulon Elementary,PK-05,65.4,D,38.2,,,
Lexington City Schools,291336,Lexington Senior High School,09-12,50.3,C,38.1,,,
Washington County Schools,940328,Washington County Middle,06-08,63.5,D,38.1,,,
Johnston County Schools,510368,North Johnston High,09-12,49.9,C,38.1,,,
Greene County Schools,400308,Greene Central High,09-12,64.9,C,38.0,,,
Johnston County Schools,510388,Selma Elementary,PK-04,67.2,D,37.9,,,
Washington County Schools,940314,Pines Elementary,PK-05,71.3,D,37.8,,,
Scotland County Schools,830320,I E Johnson Elementary,PK-05,93.2,D,37.8,,,
Wake County Schools,920561,South Garner High,09-11,58.2,D,37.7,,,
Guilford County Schools,410484,Northeast Guilford High,09-12,74.3,C,37.7,,,
Charlotte-Mecklenburg Schools,600366,Marie G Davis,0K-08,61.7,D,37.7,,,
Johnston County Schools,510402,South Johnston High,09-12,49.3,C,37.7,,,
Gaston County Schools,360428,Hunter Huss High,09-12,71.2,C,37.6,,,
Person County Schools,730356,South Elementary,PK-05,62.9,D,37.6,,,
Vance County Schools,910346,E O Young Jr Elementary,PK-05,65.3,D,37.6,,,
Cumberland County Schools,260428,Spring Lake Middle,06-08,72.7,D,37.6,,,
Robeson County Schools,780412,Union Chapel Elementary,PK-06,81.5,D,37.6,,,
Nash-Rocky Mount Schools,640308,Benvenue Elementary,0K-05,51.4,D,37.5,,,
Wake County Schools,920410,East Wake Middle,06-08,71.4,D,37.5,,,
Charlotte-Mecklenburg Schools,600550,Sterling Elementary,PK-05,49.7,D,37.4,,,
Thomasville City Schools,292320,Thomasville Middle,06-08,56.7,D,37.3,,,
Rowan-Salisbury Schools,800315,Overton Elementary,0K-05,56.9,D,37.3,,,
Union County Public Schools,900306,East Elementary,PK-05,62.8,D,37.3,,,
Durham Public Schools,320325,Hillside High,09-12,66.1,C,37.2,,,
Guilford County Schools,410505,Oak View Elementary,PK-05,64.0,D,37.2,,,
Cumberland County Schools,260440,Sunnyside Elementary,0K-05,73.1,D,37.2,,,
Warren County Schools,930700,Warren New Tech High,09-12,36.8,C,37.2,,,
Iredell-Statesville Schools,490319,Cloverleaf Elementary,PK-05,64.2,D,37.1,,,
Durham Public Schools,320315,Eno Valley Elementary,PK-05,65.4,D,37.1,,,
Johnston County Schools,510308,Benson Elementary,PK-04,67.7,D,37.1,,,
Wake County Schools,920496,Millbrook Elementary,PK-05,75.5,D,37.1,,,
Robeson County Schools,780401,Saint Pauls High,09-12,74.3,C,37.1,,,
Tyrrell County Schools,890306,Columbia Middle,06-08,43.5,D,37.0,,,
Robeson County Schools,780342,Lumberton Senior High,09-12,70.4,C,37.0,,,
Bladen County Schools,090328,East Arcadia Elementary,PK-04,81.8,D,37.0,,,
Wayne County Public Schools,960314,Brogden Primary,PK-04,85.4,D,37.0,,,
Pitt County Schools,740309,Ayden-Grifton High,09-12,62.0,C,36.9,,,
New Hanover County Schools,650328,Forest Hills Global Elementary,0K-05,81.9,D,36.9,,,
Lenoir County Public Schools,540338,Southeast Elementary,0K-05,>95,D,36.9,,,
Guilford County Schools,410517,Peeler Open Elementary,0K-05,68.0,D,36.8,,,
Person County Schools,730334,North Elementary,0K-05,83.0,D,36.8,,,
Wake County Schools,920599,Walnut Creek Elementary,PK-05,70.5,D,36.7,,,
Cabarrus County Schools,130313,Concord Middle,06-08,50.5,D,36.6,,,
Caswell County Schools,170338,N L Dillard Middle,06-08,66.0,D,36.6,,,
Onslow County Schools,670312,Clyde Erwin Elementary,0K-05,73.3,D,36.6,,,
Beaufort County Schools,070342,Washington High,09-12,50.2,C,36.5,,,
Cleveland County Schools,230361,Shelby High,09-12,59.4,C,36.5,,,
Duplin County Schools,310392,Wallace-Rose Hill High,09-12,70.3,C,36.5,,,
Nash-Rocky Mount Schools,640350,Northern Nash High,09-12,48.5,C,36.5,,,
Rowan-Salisbury Schools,800408,West Rowan High,09-12,49.8,C,36.5,,,
Durham Public Schools,320346,Lowe's Grove Middle,06-08,80.0,D,36.5,,,
Edgecombe County Public School,330340,South Edgecombe Middle,06-08,46.6,D,36.4,,,
Guilford County Schools,410415,Jackson Middle,06-08,66.4,D,36.4,,,
Durham Public Schools,320362,Parkwood Elementary,PK-05,72.5,D,36.4,,,
Wake County Schools,920562,Southeast Raleigh High,09-12,58.9,C,36.4,,,
Charter Schools,97D000,Bridges Academy,0K-09,41.6,D,36.3,,,
Forsyth County Schools,340314,Bolton Elementary,PK-05,63.1,D,36.3,,,
Lenoir County Public Schools,540324,North Lenoir High,09-12,60.7,C,36.3,,,
Cabarrus County Schools,130328,Royal Oaks Elementary,0K-05,48.6,D,36.2,,,
Charlotte-Mecklenburg Schools,600589,Winterfield Elementary,PK-05,63.1,D,36.2,,,
Cumberland County Schools,260372,Lewis Chapel Middle,06-08,74.4,D,36.1,,,
New Hanover County Schools,650392,Williston Middle,06-08,80.0,D,36.1,,,
Robeson County Schools,780417,W H Knuckles,PK-04,>95,D,36.1,,,
Forsyth County Schools,340514,Smith Farm Elementary,PK-05,40.6,D,36.0,,,
Guilford County Schools,410358,Eastern Guilford High,09-12,63.8,C,36.0,,,
Alamance-Burlington Schools,010326,Eastlawn Elementary,PK-05,60.5,D,36.0,,,
Johnston County Schools,510343,Micro Elementary,PK-05,69.0,D,36.0,,,
Guilford County Schools,410514,Clara J Peck Elementary,PK-05,78.0,D,36.0,,,
Guilford County Schools,410532,Rankin Elementary,PK-05,71.4,D,35.9,,,
Durham Public Schools,320355,Neal Middle,06-08,76.2,D,35.9,,,
Rowan-Salisbury Schools,800400,South Rowan High,09-12,50.9,C,35.9,,,
Charter Schools,60Q000,Invest Collegiate Transform,0K-08,49.6,D,35.8,,,
Guilford County Schools,410355,James B Dudley High,09-12,63.4,C,35.8,,,
Martin County Schools,580368,Riverside High,09-12,42.8,C,35.8,,,
Charter Schools,32S000,KIPP Durham College Preparatory,05-08,70.1,D,35.8,,,
Cumberland County Schools,260361,Ferguson-Easley Elementary,0K-05,90.0,D,35.8,,,
Charlotte-Mecklenburg Schools,600381,Eastway Middle,06-08,52.6,D,35.7,,,
Nash-Rocky Mount Schools,640336,Middlesex Elementary,PK-05,39.7,D,35.6,,,
Anson County Schools,040309,Anson Middle,06-08,55.2,D,35.6,,,
Warren County Schools,930354,Warren County Middle,06-08,63.2,D,35.6,,,
Alamance-Burlington Schools,010348,Graham High,09-12,70.8,C,35.5,,,
Charlotte-Mecklenburg Schools,600397,Garinger High,09-12,48.5,C,35.5,,,
Duplin County Schools,310336,Warsaw Elementary,PK-08,85.0,D,35.5,,,
Forsyth County Schools,340430,Diggs-Latham Elementary,PK-05,66.7,D,35.4,,,
Vance County Schools,910360,E M Rollins Elementary,PK-05,76.5,D,35.4,,,
Kannapolis City Schools,132304,A L Brown High,09-12,32.6,C,35.3,,,
Alamance-Burlington Schools,010351,Grove Park Elementary,PK-05,60.9,D,35.3,,,
Forsyth County Schools,340452,Mineral Springs Middle,06-08,67.9,D,35.3,,,
Pitt County Schools,740375,Northwest Elementary,PK-05,77.8,D,35.3,,,
Robeson County Schools,780329,Janie C Hargrave Elem,PK-04,88.5,D,35.3,,,
Guilford County Schools,410556,Southern Guilford High,09-12,73.2,C,35.2,,,
Pitt County Schools,740334,Falkland Elementary,0K-05,78.7,D,35.1,,,
Guilford County Schools,410366,Waldo C Falkener Sr Elementary,PK-05,79.0,D,35.1,,,
Moore County Schools,630308,Aberdeen Elementary,03-05,81.6,D,35.1,,,
Forsyth County Schools,340488,J F Kennedy High,06-12,52.4,C,35.0,,,
Charter Schools,49D000,Success Institute Charter,0K-08,60.0,D,35.0,,,
Montgomery County Schools,620316,East Montgomery High,09-12,76.8,C,35.0,,,
Weldon City Schools,422318,Weldon Middle,05-08,70.9,D,34.9,,,
Charlotte-Mecklenburg Schools,600459,Montclaire Elementary,PK-05,43.5,D,34.8,,,
Johnston County Schools,510404,South Smithfield Elementary,PK-05,66.1,D,34.8,,,
Charter Schools,32P000,The Institute Development Young Leaders,0K-08,51.4,D,34.7,,,
Durham Public Schools,320352,Merrick-Moore Elementary,PK-05,59.6,D,34.7,,,
Charlotte-Mecklenburg Schools,600592,Vance High,09-12,40.7,D,34.6,,,
Alamance-Burlington Schools,010357,Haw River Elementary,PK-05,55.9,D,34.6,,,
Halifax County Schools,420346,Northwest Halifax Collegiate and Technic,09-12,57.4,C,34.5,,,
Guilford County Schools,410511,Parkview Village Elementary,PK-05,82.1,D,34.5,,,
Wake County Schools,920547,Rogers Lane Elementary,PK-05,82.1,D,34.4,,,
Gaston County Schools,360520,Woodhill Elementary,PK-05,70.2,D,34.3,,,
Hertford County Schools,460308,Ahoskie Elementary,04-05,63.7,F,34.3,,,
Guilford County Schools,410367,Ferndale Middle,06-08,59.7,D,34.2,,,
Cumberland County Schools,260321,Douglas Byrd Middle,06-08,75.6,D,34.2,,,
Guilford County Schools,410328,Bessemer Elementary,PK-05,81.3,D,34.2,,,
Guilford County Schools,410478,Murphey Traditional Academy,0K-05,70.5,D,34.1,,,
Columbus County Schools,240376,Tabor City Middle,06-08,78.4,D,34.1,,,
Forsyth County Schools,340390,Hall-Woodward Elementary,PK-05,64.3,D,34.0,,,
Pasquotank County Schools,700317,Northeastern High,09-12,53.9,C,34.0,,,
Robeson County Schools,780400,Saint Pauls Elementary,PK-05,78.4,D,34.0,,,
Charter Schools,96C000,Dillard Academy,0K-08,89.1,D,34.0,,,
Robeson County Schools,780324,Fairgrove Middle,04-08,83.5,D,33.9,,,
Robeson County Schools,780390,R B Dean Elementary,PK-04,85.0,D,33.9,,,
Forsyth County Schools,340366,East Forsyth Middle School,06-08,51.8,D,33.8,,,
Durham Public Schools,320356,Northern High,09-12,58.1,C,33.8,,,
Robeson County Schools,780368,Pembroke Middle,06-08,85.2,D,33.8,,,
Randolph County Schools,760318,Eastern Randolph High,09-12,62.6,C,33.7,,,
Edgecombe County Public School,330328,North Edgecombe High,09-12,55.5,C,33.6,,,
Guilford County Schools,410469,Montlieu Academy of Technology,PK-05,67.4,F,33.6,,,
Charter Schools,64A000,Rocky Mount Preparatory,0K-12,76.9,D,33.5,,,
Edgecombe County Public School,330350,SouthWest Edgecombe High,09-12,41.8,D,33.4,,,
Gaston County Schools,360492,H H Beam Elementary,PK-05,63.2,D,33.4,,,
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,09-12,35.9,D,33.3,,,
Caswell County Schools,170316,Bartlett Yancey High,09-12,55.1,C,33.3,,,
Robeson County Schools,780360,Parkton Elementary,PK-08,80.8,D,33.3,,,
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,PK-05,69.1,D,33.2,,,
New Hanover County Schools,650384,A H Snipes Academy of Arts/Des,0K-05,91.5,D,33.2,,,
Alamance-Burlington Schools,010358,Hillcrest Elementary,PK-05,57.6,D,33.1,,,
Gaston County Schools,360332,Bessemer City Central Elem,03-05,60.2,D,33.1,,,
Charter Schools,32C000,Carter Community Charter,0K-08,69.5,D,33.1,,,
Robeson County Schools,780325,Fairmont High,09-12,80.4,C,33.1,,,
Martin County Schools,580316,South Creek Elementary,PK-05,64.8,F,33.1,,,
Wake County Schools,920329,Barwell Road Elementary,PK-05,76.3,F,33.1,,,
Durham Public Schools,320338,James E Shepard Middle,06-08,80.8,D,33.0,,,
Charlotte-Mecklenburg Schools,600428,James Martin Middle,06-08,42.5,F,32.9,,,
Iredell-Statesville Schools,490346,North Iredell High,09-12,41.2,C,32.9,,,
Forsyth County Schools,340462,North Hills Elementary,PK-05,79.7,D,32.9,,,
Columbus County Schools,240334,East Columbus High,09-12,73.5,C,32.8,,,
Halifax County Schools,420324,Enfield Middle S.T.E.A.M. Academy,06-08,72.0,D,32.8,,,
Caldwell County Schools,140392,West Lenoir Elementary,03-05,68.3,D,32.7,,,
Granville County Schools,390364,West Oxford Elementary,PK-05,86.3,D,32.7,,,
Robeson County Schools,780394,Rosenwald Elementary,PK-04,91.9,D,32.7,,,
Craven County Schools,250360,Oaks Road Academy,0K-05,80.6,D,32.6,,,
Durham Public Schools,320320,Glenn Elementary,0K-05,58.3,D,32.5,,,
Durham Public Schools,320400,Y E Smith Elementary,PK-05,70.6,D,32.5,,,
Edgecombe County Public School,330344,W A Pattillo Middle,06-08,65.3,D,32.4,,,
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,06-12,50.5,D,32.1,,,
Wayne County Public Schools,960380,Southern Wayne High,09-12,67.3,D,32.1,,,
Charlotte-Mecklenburg Schools,600579,West Mecklenburg High,09-12,40.5,C,32.1,,,
Edgecombe County Public School,330312,Coker-Wimberly Elementary,PK-05,61.2,D,32.0,,,
Guilford County Schools,410583,Vandalia Elementary,PK-05,67.8,D,31.9,,,
Guilford County Schools,410592,Welborn Middle,06-08,65.3,F,31.9,,,
Edgecombe County Public School,330334,Princeville Elementary,PK-05,71.7,D,31.9,,,
Charlotte-Mecklenburg Schools,600485,Oakdale Elementary,0K-05,56.9,D,31.8,,,
Johnston County Schools,510344,North Johnston Middle,06-08,61.1,F,31.8,,,
Charter Schools,92Q000,Hope Charter Leadership Academy,0K-05,48.5,D,31.7,,,
Charter Schools,60L000,KIPP Charlotte,0K-08,55.8,D,31.7,,,
Granville County Schools,390334,Northern Granville Middle,06-08,76.8,F,31.6,,,
Vance County Schools,910316,Vance County Middle School,06-08,71.7,F,31.5,,,
Lenoir County Public Schools,540325,Northeast Elementary,PK-05,93.7,D,31.5,,,
Tyrrell County Schools,890304,Columbia High,09-13,43.3,C,31.4,,,
Forsyth County Schools,340476,Old Town Elementary,PK-05,61.0,F,31.3,,,
Wake County Schools,920466,Knightdale High,09-12,51.3,C,31.3,,,
Wilson County Schools,980357,Vick Elementary,PK-05,84.4,D,31.3,,,
Nash-Rocky Mount Schools,640346,Nash Central High,09-12,55.7,D,31.2,,,
Nash-Rocky Mount Schools,640361,Rocky Mount High,09-12,46.2,D,31.1,,,
