District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Washington County Schools,940330,Washington Early College High,09-12,28.6,B,78.6,,,
Gaston County Schools,360364,Cherryville Elementary,PK-03,59.4,B,78.5,,,
Charter Schools,11A000,Evergreen Community Charter,0K-08,11.8,B,78.5,,,
Caldwell County Schools,140305,Caldwell Career Cen Mid. Coll.,09-12,43.1,A,78.4,,,
Gaston County Schools,360420,Hawks Nest STEAM Academy,0K-05,27.9,B,78.4,,,
Charlotte-Mecklenburg Schools,600353,Crestdale Middle,06-08,25.8,B,78.4,,,
Charlotte-Mecklenburg Schools,600437,Ballantyne Elementary,0K-05,12.7,B,78.4,,,
Polk County Schools,750317,Polk County Early College,09-13,27.6,A,78.4,,,
Randolph County Schools,760329,Hopewell Elementary,0K-05,45.3,B,78.4,,,
Sampson County Schools,820364,Plain View Elementary,PK-05,40.5,B,78.4,,,
Wake County Schools,920454,Heritage Elementary,PK-05,17.2,B,78.3,,,
Charter Schools,60J000,Socrates Academy,0K-08,5.9,B,78.3,,,
Charlotte-Mecklenburg Schools,600493,Palisades Park Elementary,0K-05,34.0,B,78.1,,,
Chapel Hill-Carrboro Schools,681311,Ephesus Elementary,PK-05,31.8,B,78.0,,,
Charter Schools,16B000,Tiller School,0K-05,27.4,B,78.0,,,
Charter Schools,92V000,Wake Forest Charter Academy,0K-08,10.8,B,78.0,,,
Cabarrus County Schools,130312,Harrisburg Elementary,0K-05,9.5,B,77.9,,,
Charlotte-Mecklenburg Schools,600367,Dilworth Elementary School Latta Campus,03-05,24.5,B,77.9,,,
Alleghany County Schools,030316,Piney Creek Elementary,PK-08,49.7,B,77.8,,,
Charter Schools,43C000,Anderson Creek Academy,0K-05,5.6,B,77.8,,,
Henderson County Schools,450340,Mills River Elementary,0K-05,35.4,B,77.7,,,
Iredell-Statesville Schools,490336,Lake Norman Elementary,PK-05,10.7,B,77.7,,,
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,0K-05,19.9,B,77.7,,,
Forsyth County Schools,340354,The Downtown School,PK-08,17.4,B,77.6,,,
Charter Schools,95A000,Two Rivers Community School,0K-08,13.3,B,77.6,,,
Anson County Schools,040328,Peachland-Polkton Elem,0K-05,46.9,B,77.5,,,
Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,06-12,35.0,B,77.5,,,
Polk County Schools,750319,Polk County Middle School,06-08,51.8,B,77.5,,,
Chatham County Schools,190346,Perry W Harrison Elementary,PK-05,18.3,B,77.4,,,
Hyde County Schools,480316,Ocracoke School,PK-12,65.5,B,77.4,,,
Chapel Hill-Carrboro Schools,681332,Morris Grove Elementary,PK-05,17.9,B,77.4,,,
Newton Conover City Schools,182322,Shuford Elementary,PK-05,53.5,B,77.3,,,
Chapel Hill-Carrboro Schools,681336,Smith Middle,06-08,22.5,B,77.2,,,
Guilford County Schools,410490,Northwest Guilford High,09-12,11.8,A,77.1,,,
Wake County Schools,920518,North Wake College and Career Academy,09-12,35.3,B,77.1,,,
Charter Schools,32L000,Voyager Academy,0K-12,9.8,B,77.1,,,
Avery County Schools,060310,Cranberry Middle,06-08,53.2,B,77.0,,,
Union County Public Schools,900312,Fairview Elementary,PK-05,25.5,B,77.0,,,
Wake County Schools,920571,Turner Creek Elementary,PK-05,20.2,B,77.0,,,
Charter Schools,36C000,Mountain Island Charter School,0K-12,15.0,B,77.0,,,
Buncombe County Schools,110322,Early College,09-13,39.6,B,76.9,,,
Cumberland County Schools,260332,Eastover-Central Elementary,PK-05,39.9,B,76.9,,,
Chapel Hill-Carrboro Schools,681326,McDougle Elementary,PK-05,31.9,B,76.9,,,
Charter Schools,23A000,Pinnacle Classical Academy,0K-11,20.6,B,76.9,,,
New Hanover County Schools,650308,Carolina Beach Elementary,0K-05,38.0,B,76.8,,,
Chapel Hill-Carrboro Schools,681330,Scroggs Elementary,PK-05,26.4,B,76.8,,,
Union County Public Schools,900318,Hemby Bridge Elementary,PK-05,24.8,B,76.8,,,
Charter Schools,11K000,Francine Delany New School,0K-08,15.5,B,76.8,,,
New Hanover County Schools,650350,M C S Noble Middle,06-08,35.7,B,76.7,,,
Orange County Schools,680329,Hillsborough Elementary,PK-05,12.7,B,76.7,,,
Durham Public Schools,320364,Pearsontown Elementary,PK-05,30.1,B,76.6,,,
Chapel Hill-Carrboro Schools,681324,Phillips Middle,06-08,25.3,B,76.6,,,
Wake County Schools,920308,Apex Elementary,PK-05,26.2,B,76.6,,,
Carteret County Public Schools,160311,Broad Creek Middle,06-08,41.4,B,76.5,,,
Dare County Schools,280324,First Flight Elementary School,PK-05,42.5,B,76.5,,,
