EOG_quintile,percent_EDS,parent_unemployed,county_poc,median_inc_county
2,66,10.6,26.3,42728
3,65.9,14,39.5,42618
3,65.9,11.8,60.4,40263
3,65.9,10.2,41.4,58956
3,65.9,3.3,29.4,71920
3,65.9,11,36.3,47757
2,65.8,20.3,40.1,36862
2,65.7,5.6,11.4,64768
3,65.7,8,49.3,52166
3,65.6,16.1,64.9,35433
3,65.6,6.2,37.1,43302
3,65.6,5.8,44.9,43303
3,65.6,18.7,61.2,38430
3,65.6,7.1,49,42807
3,65.6,4.9,52.7,64509
3,65.6,7.4,14.1,62963
2,65.6,12.5,17.6,44946
2,65.5,9.9,39.3,40653
3,65.5,10.5,56,46779
3,65.5,8,49.3,52166
3,65.5,8.7,19.3,47758
3,65.5,8.7,19.3,47758
3,65.5,10.6,26.3,42728
5,65.4,5.8,44.9,43303
3,65.4,8.3,21.6,53419
3,65.4,18.7,61.2,38430
4,65.4,4,39.1,80169
3,65.4,7.9,37.6,51225
4,65.4,8.6,56.6,59329
2,65.4,6.1,8,50826
2,65.4,12.5,17.6,44946
2,65.4,15.4,10.9,41701
4,65.3,14.5,63.4,38818
3,65.3,11,46,41572
4,65.3,11.8,60.4,40263
3,65.3,15.2,26.7,41869
3,65.3,12.5,55.3,38023
4,65.3,8,49.3,52166
3,65.3,10.7,27,52798
3,65.2,12,33.8,46411
3,65.2,11,46,41572
2,65.2,20.3,40.1,36862
3,65.2,8.6,56.6,59329
3,65.2,8,49.3,52166
3,65.2,3.4,34.2,69297
2,65.2,10.6,26.3,42728
3,65.1,12,33.8,46411
3,65.1,7.3,31.8,60296
3,65.1,4.9,15,60801
4,65,18.7,61.2,38430
3,65,10.2,41.4,58956
3,65,4,39.1,80169
4,65,8.6,56.6,59329
3,65,8.6,35.8,50480
3,65,9.9,20.3,48372
4,64.9,10.8,52.8,43591
5,64.9,14.5,63.4,38818
3,64.9,10.5,56,46779
3,64.9,10.5,56,46779
3,64.9,7.1,23.7,53738
3,64.8,5.8,44.9,43303
4,64.8,13.1,47.5,43569
3,64.8,15.4,61.5,36760
3,64.8,14.3,48.2,42725
3,64.8,6.4,21.8,59471
3,64.7,4.9,52.7,64509
4,64.7,4.9,52.7,64509
3,64.7,7.6,33.1,50748
3,64.7,6.2,37.1,43302
3,64.7,14.8,59.5,47892
2,64.7,7.6,11.9,43328
3,64.7,10.6,26.3,42728
1,64.6,7.4,12.3,55052
2,64.6,5.4,66.5,38216
2,64.6,10.3,17,60163
3,64.6,7.6,50,50122
3,64.6,8.6,56.6,59329
3,64.6,9.9,20.3,48372
3,64.6,8.7,19.3,47758
2,64.6,13.5,15.8,46342
2,64.5,7.4,12.3,55052
4,64.5,21.7,60.7,37233
3,64.5,5.7,41.3,48984
3,64.5,9.5,42.7,50112
2,64.5,12.5,17.6,44946
3,64.5,12.5,17.6,44946
3,64.4,8,49.3,52166
2,64.4,8.7,19.3,47758
3,64.3,7.9,37.6,51225
4,64.3,9.5,42.7,50112
3,64.3,10.7,27,52798
2,64.3,5.6,15.9,54012
5,64.2,15.4,61.5,36760
3,64.2,20.7,55.8,36730
4,64.2,6,23.3,60044
3,64.2,7.1,23.7,53738
3,64.2,8.9,11.8,43972
2,64.2,8.3,6.2,42878
3,64.1,4,39.1,80169
3,64.1,7.9,37.6,51225
3,64.1,13.5,15.8,46342
3,64.1,10.5,17.9,44502
3,64,10.5,56,46779
4,64,8,49.3,52166
2,64,13.9,15.2,49070
3,64,11.6,16,42831
2,64,16.5,36.7,43121
3,63.9,16.1,64.9,35433
4,63.9,7.6,50,50122
3,63.9,12.7,38.1,45517
3,63.9,8,49.3,52166
3,63.9,15.2,26.7,41869
3,63.9,6.7,15.3,53960
3,63.9,6.9,13,39502
5,63.8,21.7,60.7,37233
3,63.8,4,39.1,80169
4,63.8,8,49.3,52166
3,63.8,8,49.3,52166
4,63.8,10.1,27.4,46864
2,63.8,6.8,12.4,44080
4,63.7,5.4,66.5,38216
5,63.7,15.4,61.5,36760
2,63.7,4.9,52.7,64509
3,63.6,8.6,32.3,50531
3,63.6,8.7,19.3,47758
3,63.6,8.7,19.3,47758
4,63.6,10.7,27,52798
3,63.6,11.1,10.4,46426
4,63.5,12.8,55.2,36042
3,63.5,8.6,32.3,50531
3,63.5,4,39.1,80169
2,63.5,10.5,56,46779
3,63.5,8,49.3,52166
3,63.5,9.5,42.7,50112
4,63.5,4.9,52.7,64509
3,63.4,4,39.1,80169
3,63.4,20.3,40.1,36862
5,63.4,15.2,26.7,41869
4,63.4,8,49.3,52166
2,63.4,8.7,19.3,47758
2,63.4,3.6,27.4,80428
2,63.4,4.9,52.7,64509
2,63.4,5.5,7.1,41864
3,63.3,12.7,52.5,44015
